HLR,PLI,PLO,TPIn,TPOut
0.632,5.22,5.91,2.59,2.27
0.762,7.48,5.91,3.73,1.66
0.493,7.3,3.43,4.16,1.86
13.097,10.73,127.71,4.91,1.37
0.73,10.26,11.24,4.23,3.86
1.08,9.2,12.23,3.85,2.23
0.701,8.65,4.71,4,1.59
0.694,11.1,6.68,5.03,2.34
0.71,9.16,7.85,4.7,2.42
1.574,7.23,0.29,3.68,0.03
0.705,1.31,0.29,0.53,0.11
2.194,42.56,27.92,5.32,3.49
2.194,39.53,28.94,4.94,3.62
1.814,34.64,12.3,5.24,1.86
3.094,45.19,39.06,3.97,3.43
0.157,3.03,0.22,3.73,0.63
0.279,4.31,0.95,3.68,1.11
0.196,4.38,0.37,4.3,0.88
0.111,1.13,0.04,2.96,0.1
0.04,1.35,,4.65,0.04
0.033,1.93,,8.24,0.13
0.128,2.19,0.04,4.55,0.11
0.17,1.46,0.07,3.14,0.08
0.126,1.28,0.07,2.76,0.19
0.077,1.24,,3.04,0.08
0.178,2.23,0.29,4.22,0.37
0.08,2.23,,4.11,0.38
0.081,1.9,0.04,4.09,0.28
0.115,2.15,0.07,4.44,0.25
0.1,2.56,0.04,4.23,0.37
30.4,3142.25,2842.99,13.3,12.9
12.9,284.52,42.19,7.86,1.17
26.1,3142.25,2842.99,9.39,7.44
22.5,658.31,383.32,8.91,6.54
25.4,516.84,407.71,8.91,8.16
29.9,1234.14,1763.02,9.39,9.99
31.3,1234.14,1763.02,13.3,15.6
37.4,887.32,1165.04,8.45,11.1
20.2,445.48,232.98,7.86,4.11
22,444.94,254.41,8.91,5.9
25.4,1702.8,1054.12,9.39,5.81
19.5,1702.8,1054.12,13.3,8.97
33.2,787.67,613.53,8.45,6.58
15.3,337.44,98.08,7.86,2.28
0,4.42,2.01,1.4,1.3
0.046,0.91,0.8,0.4,0.1
0.871,4.82,0.29,2.4,0.07
0.871,4.96,2.88,2.48,0.66
0.198,0.84,,5.8,0.05
0.166,1.57,,1.3,0.04
6.336,0.37,0.06,0.02,0.03
0.634,0.44,0.18,0.19,0.08
0.087,0.07,0.01,0.22,0.04
0.091,0.02,0.01,0.06,0.03
0.091,0.12,0.01,0.36,0.04
0.822,1.71,0.27,0.57,0.1
1.039,2.73,0.31,0.72,0.08
7.022,14.61,2.63,0.57,0.1
16.219,5.92,5.86,0.1,0.1
4.877,1.78,1.85,0.1,0.11
2.117,0.85,0.73,0.11,0.09
2.344,0.77,0.8,0.09,0.1
21.027,6.14,11.51,0.08,0.15
6.393,3.5,1.63,0.15,0.07
2.935,0.75,0.53,0.07,0.05
3.068,0.56,0.85,0.05,0.08
0.586,1.07,0.28,0.5,0.07
0.978,0.25,0.17,0.07,0.05
1.201,1.14,0.24,0.26,0.03
0.411,0.27,0.04,0.18,0.03
0.501,1.48,0.05,0.81,0.05
0.296,1.35,0.47,1.25,0.01
2.23,4.64,0.59,0.57,0.22
,0.01,0.22,,0.08
1.412,0.67,0.12,0.13,0.09
,0.13,0.13,,0.06
,0.01,0.03,,0.08
0.678,0.94,0.55,0.38,0.09
2.192,0.24,0.27,0.03,0.05
0.365,0.04,0.08,0.03,0.04
0.274,0.05,0.09,0.05,0.01
12.877,0.47,0.05,0.01,0.02
0.735,0.59,0.34,0.22,0.09
0.753,0.22,0.23,0.08,0.07
0.365,0.12,0.09,0.09,0.09
0.594,0.13,0.22,0.06,0.09
0.103,0.03,0.03,0.08,0.06
1.674,0.55,0.27,0.09,0.07
0.63,0.23,0.12,0.1,0.05
0.856,0.25,0.07,0.08,0.02
0.548,0.14,0.01,0.07,0.01
0.578,0.19,0.04,0.09,0.02
0.594,0.13,0.03,0.06,0.01
0.493,0.09,0.01,0.05,0
0.651,0.19,0.12,0.08,0.05
0.861,0.22,0.07,0.07,0.02
0.548,0.08,0.01,0.04,0.01
0.423,0.17,0.08,0.11,0.05
0.493,0.18,0.05,0.1,0.03
0.391,0.1,0.01,0.07,0.01
0.632,0.3,0.18,0.13,0.08
0.759,0.36,0.06,0.13,0.02
0.623,0.25,0.01,0.11,0
0.747,0.3,0.17,0.11,0.06
0.974,0.32,0.06,0.09,0.02
0.685,0.15,0.01,0.06,0
0.708,0.31,0.14,0.12,0.06
0.877,0.32,0.1,0.1,0.03
0.514,0.15,0.02,0.08,0.01
0.573,0.23,0.07,0.11,0.03
0.744,0.19,0.12,0.07,0.05
0.509,0.13,0.02,0.07,0.01
0.788,0.23,0.11,0.08,0.04
0.89,0.26,0.17,0.08,0.06
0.651,0.19,0.01,0.08,0
0.411,0.12,0.02,0.08,0.01
0.47,0.12,0.04,0.07,0.02
0.411,0.09,0.01,0.06,0.01
0.7,0.23,0.13,0.09,0.05
0.883,0.29,0.1,0.09,0.03
0.587,0.15,0.01,0.07,0
5.342,1.56,1.04,0.08,0.04
1.438,0.42,0.1,0.08,0.03
5.514,1.61,0.68,0.08,0.04
2.123,0.62,0.03,0.08,0.03
