SUID,CITY,STAID,sname,AnnMeanT,AnnMeanP,AnnMaxT,AnnMinT,AnnMaxP,AnnMinP,DAkm2,MIN_ELEV,MAX_ELEV,MEANELEV,RELIEF,AWCH,AWCL,CLYAVE,KFCAVE,ORMH,ORML,SOC100CM,SOC30CM,DomEcoReg
WILL,POR,455122122310600,"Rock Creek near Battleground, WA",10.27029,198.5236,18.19,2.82,31.55,3.22,26.0813,113.276,443.77,236.402,330.494,0.242,0.179,14.7095,0.286,2.56,0.821,11236.64,7303.48,ECO_3
WMIC,MGB,04072233,"Lancaster Brook at Shawano Avenue at Howard, WI",6.796292,81.43511,20.74,-8.47,10.12,2.25,25.53792692,184,238,218.5834,54,0.176,0.093,22.315,0.2875,0.664,0.249,7192.571,5404.428,ECO_51
WMIC,MGB,04078085,"Black Otter Creek near Hortonville, WI",6.993164,84.66422,21.22,-8.72,11.34,2.43,41.04357433,233,305,258.6519,72,0.202,0.124,23.1285,0.315,1.56,0.465,16018.977,9592.786,ECO_51
WMIC,MGB,04081897,"Sawyer Creek at Westhaven Road at Oshkosh, WI",7.39318,83.54754,21.55,-8.23,11.44,2.38,30.60111648,234,286,254.1913,52,0.195,0.095,42.2145,0.333,0.827,0.324,13711,9306,ECO_53
WMIC,MGB,04084429,"Mud Creek at Spencer Road at Appleton, WI",7.104436,82.37061,21.25,-8.44,10.72,2.41,33.28238566,230,281,246.2319,51,0.19,0.102,27.423,0.3055,1.023,0.271,20574.576,10795.758,ECO_53
WMIC,MGB,04084468,"Garners Creek at Park Street at Kaukauna, WI",7.171308,82.09846,21.23,-8.23,10.62,2.44,20.7354563,202,250,234.6476,48,0.195,0.095,42.2145,0.333,0.827,0.324,13711,9306,ECO_53
WMIC,MGB,04085046,"Apple Creek at Sniderville, WI",7.146079,80.31915,21.18,-8.23,10.39,2.38,118.8051604,193,274,222.2946,81,0.196,0.098,39.7585,0.3345,0.881,0.319,13062.8,8878,ECO_53
WMIC,MGB,040850683,"Ashwaubenon Creek at South Bridge Rd nr Depere, WI",7.105702,78.58366,21.04,-8.13,10.17,2.39,51.82294082,188,223,206.7607,35,0.195,0.095,42.2145,0.333,0.827,0.324,13711,9306,ECO_53
WMIC,MGB,040851235,"Bower Creek Trib at Lime Kiln Road nr Bellevue, WI",6.89765,82.58024,20.58,-7.97,10.21,2.53,34.39498116,180,283,238.0628,103,0.194,0.094,41.8015,0.331,0.823,0.323,13465.371,9180.2,ECO_53
WMIC,MGB,040851325,"Baird Creek at Superior Road at Green Bay, WI",6.833621,83.18407,20.46,-7.97,10.14,2.51,52.00696126,206,268,241.7092,62,0.195,0.095,42.2145,0.333,0.827,0.324,13711,9306,ECO_53
WMIC,MGB,04085188,"Rio Creek at Pheasant Road near Rio Creek, WI",6.899378,83.58215,20.26,-7.50,9.67,2.72,55.81254471,203,248,220.5759,45,0.197,0.108,29.3965,0.3365,1.086,0.297,11353.947,7467.07,ECO_53
WMIC,MGB,040851932,"Kewaunee River Trib @ Lowell Road nr Luxemburg, WI",6.772398,84.12357,20.31,-7.91,9.98,2.64,36.71834179,206,259,233.8227,53,0.188,0.1,35.6615,0.3375,0.801,0.314,11930.697,8208.424,ECO_53
WMIC,MGB,04085270,"Jambo Creek at Jambo Creek Road near Mishicot, WI",7.136595,83.31773,20.55,-7.33,10.32,2.83,48.83327288,191,252,221.9159,61,0.186,0.109,25.784,0.338,0.938,0.297,9096.313,6429.216,ECO_53
WMIC,MGB,040853145,"Black Creek at Curran Road near Denmark, WI",6.91933,85.39252,20.42,-7.66,10.42,2.76,56.12755344,222,309,248.0873,87,0.179,0.106,27.857,0.3395,0.773,0.304,9792.236,6900.181,ECO_53
WMIC,MGB,04085322,"Devils River at Rosencrans Road near Maribel, WI",6.866252,85.52141,20.53,-7.94,10.55,2.79,76.4523914,237,299,269.9701,62,0.189,0.101,33.0315,0.331,0.876,0.307,10601.925,7470.012,ECO_53
WMIC,MGB,040854395,"Point Creek at Ucker Point Road near Newton, WI",7.38638,83.1693,20.75,-7.02,10.32,2.98,45.91513466,185,295,232.0172,110,0.196,0.102,35.0235,0.3335,0.957,0.309,11507.276,7932.191,ECO_53
WMIC,MGB,04085455,"Meeme River at Washington Road near Cleveland, WI",7.327083,85.01874,20.78,-7.20,10.59,3.02,50.40975652,222,314,254.3733,92,0.195,0.099,38.2545,0.3335,0.876,0.333,13041.188,8868.708,ECO_53
WMIC,MGB,04086699,"Pigeon Creek at Williamsburg Dr at Theinsville, WI",8.025625,86.24799,21.60,-6.65,11.28,3.20,29.86046947,200,298,242.7665,98,0.178,0.113,29.9645,0.3465,1.192,0.512,15133.767,8200.167,ECO_53
WMIC,MGB,040869415,"Lincoln Creek at 47th Street at Milwaukee, WI",8.328092,84.96287,21.90,-6.32,11.27,3.36,25.96460519,196,239,217.379,43,0.168,0.119,35.1445,0.369,1.296,0.568,13726,7363,ECO_53
WMIC,MGB,04087030,"Menomonee River at Menomonee Falls, WI",7.871766,88.23931,21.55,-7.03,11.65,3.24,87.85270538,232,336,270.3454,104,0.179,0.119,27.121,0.348,1.128,0.502,14093.057,8075.46,ECO_53
WMIC,MGB,0408703164,"Lily Creek at Good Hope Road nr Menomonee Falls, WI",8.118302,87.08562,21.78,-6.73,11.56,3.28,11.22435469,231,273,245.0724,42,0.168,0.119,35.1445,0.369,1.296,0.568,13726,7363,ECO_53
WMIC,MGB,04087070,"Little Menomonee River at Milwaukee, WI",8.157412,85.65549,21.76,-6.55,11.40,3.25,51.70057131,213,280,231.9739,67,0.168,0.119,35.1445,0.369,1.296,0.568,13726,7363,ECO_53
WMIC,MGB,040870856,"Underwood Crk @ Watertown Plank Rd @ Elm Grove, WI",8.169025,88.65446,21.85,-6.70,12.01,3.40,24.56152086,225,287,249.1233,62,0.169,0.119,33.8975,0.3655,1.271,0.558,13529.385,7387.077,ECO_53
WMIC,MGB,04087118,"Honey Creek near Portland Avenue at Wauwatosa, WI",8.352052,87.92551,21.95,-6.34,11.77,3.41,27.74165802,196,255,230.2941,59,0.168,0.119,35.1445,0.369,1.296,0.568,13726,7363,ECO_53
WMIC,MGB,04087204,"Oak Creek at South Milwaukee, WI",8.474835,89.46886,21.98,-6.05,11.75,3.46,66.79287039,194,247,215.4582,53,0.17,0.12,34.923,0.366,1.316,0.579,14726.942,7871.551,ECO_53
WMIC,MGB,04087213,"Root River at Layton Avenue at Greenfield, WI",8.293793,88.969,21.94,-6.50,12.00,3.42,30.74185591,218,274,241.6721,56,0.168,0.119,35.1445,0.369,1.296,0.568,13726,7363,ECO_53
WMIC,MGB,040872393,"Hoods Creek at Brook Road near Franksville, WI",8.507406,90.55103,22.02,-6.04,11.50,3.67,38.92858286,198,247,223.912,49,0.191,0.136,34.4295,0.3405,1.677,0.825,16995.461,10085.052,ECO_54
WMIC,MGB,04087258,"Pike River at Cth A near Kenosha, WI",8.601041,90.00302,22.10,-5.91,10.93,3.78,100.2912192,188,235,213.0482,47,0.19,0.134,34.143,0.3405,1.633,0.79,18286.834,10502.206,ECO_54
WMIC,MGB,04087270,"Pike Creek at 43rd Street at Kenosha, WI",8.721246,89.39011,22.19,-5.73,10.44,3.90,16.29709422,178,224,201.7926,46,0.188,0.132,33.902,0.3415,1.583,0.751,19372.646,10808.353,ECO_54
WMIC,MGB,05527729,"Kilbourn Ditch at 6Oth Street near Kenosha, WI",8.534684,90.41576,22.08,-6.08,10.80,3.79,53.70763321,209,252,226.7462,43,0.183,0.131,34.7045,0.35,1.554,0.743,15739.846,9119.058,ECO_54
WMIC,MGB,055437901,"Fox River at River Road near Sussex, WI",7.930737,88.88811,21.65,-7.05,11.77,3.33,60.79267461,252,335,272.9257,83,0.185,0.12,23.1275,0.3405,1.062,0.476,11831.034,7595.052,ECO_53
GRSL,SLC,10167800,"Little Cottonwood Creek at Crestwood Park at Salt Lake City, UT",10.45031,68.1701,23.43,-2.02,8.16,2.79,9.87,1380,1590,1482.8384,210,0.088,0.066,21.255,0.319,0.954,0.455,5218.2,3431.4,ECO_13
GRSL,SLC,400927111354501,"Hobble Creek at 800 East at Springville, UT",9.762599,64.2524,22.45,-2.95,7.21,2.46,9.64,1409,1613,1494.5396,204,0.14,0.113,18.58,0.312,2.041,0.919,7110.1,3933.7,ECO_13
GRSL,SLC,400959111363201,"Hobble Creek at Center Street at Springville, UT",9.852899,63.764,22.56,-2.89,7.15,2.44,10.63,1395,1613,1486.7045,218,0.134,0.108,14.8265,0.317,1.9,0.858,6837.583,4006.333,ECO_13
GRSL,SLC,401442111402201,"Provo River at 800 North at Salt Lake City, UT",10.19271,57.0811,22.95,-2.52,6.14,2.54,24.21,1390,1613,1474.2645,223,0.134,0.108,16.366,0.177,1.38,0.653,6967.666,4706.476,ECO_13
GRSL,SLC,401653111400301,"Provo River at 3700 North at Provo, UT",9.744991,59.9334,22.42,-2.76,6.43,2.69,7.77,1429,1613,1503.7678,184,0.125,0.099,18.098,0.3585,1.631,0.756,7233.666,4648.778,ECO_13
GRSL,SLC,401850111392201,"Provo River at Highway 189 at Provo, UT",9.317397,63.2929,21.91,-3.02,6.93,2.80,3.71,1473,1613,1539.6545,140,0.103,0.077,19.496,0.4065,1.087,0.536,6031,4706,ECO_13
GRSL,SLC,403707111463701,"Big Cottonwood Creek above Water Treatment Plant at Salt Lake City, UT",9.77768,75.1833,22.60,-2.41,8.86,2.92,0.5,1551,1590,1566.5178,39,0,0,18.116,0.347,0,0,0,0,ECO_13
GRSL,SLC,403755111514201,"Little Cottonwood Creek at Wheeler Farm at Salt Lake City, UT",10.61287,66.2479,23.63,-1.93,8.03,2.75,13.64,1341,1590,1459.4895,249,0.086,0.066,13.463,0.1835,0.89,0.425,5274.428,3459.571,ECO_13
GRSL,SLC,403927111523601,"Little Cottonwood Creek at Murray Park at Salt Lake City, UT",10.9197,63.342,24.00,-1.75,7.86,2.61,28.91,1309,1590,1424.9512,281,0.1,0.079,25.7385,0.297,0.891,0.417,5945.567,3685.633,ECO_13
GRSL,SLC,403945111501001,"Big Cottonwood Creek at Cottonwood Mall at Salt Lake City, UT",10.67912,65.4072,23.70,-1.89,8.03,2.55,14.62,1328,1595,1438.8055,267,0.129,0.103,25.7385,0.297,1.265,0.592,6063,4137.714,ECO_13
GRSL,SLC,404000111515801,"Big Cottonwood Creek at 900 East at Salt Lake City, UT",10.95766,62.8354,24.03,-1.73,7.86,2.46,26.66,1308,1595,1407.1625,287,0.13,0.106,23.9525,0.357,1.149,0.54,6524.923,4338.846,ECO_13
GRSL,SLC,404140111481601,"Mill Creek at 3060 East at Salt Lake City, UT",10.32838,66.4805,23.28,-2.09,8.15,2.55,1.51,1464,1608,1521.0702,144,0.172,0.143,20.0925,0.253,1.453,0.842,11449,8495,ECO_13
GRSL,SLC,404143111500101,"Mill Creek at 2000 East Salt Lake City, UT",10.43057,65.6695,23.40,-2.03,8.10,2.53,2,1382,1608,1497.6987,226,0.166,0.139,11.415,0.1975,1.245,0.626,8526,6067.5,ECO_13
GRSL,SLC,404218111525601,"Mill Creek at 300 East at Salt Lake City, UT",11.14604,59.9393,24.28,-1.61,7.73,2.39,25.21,1297,1608,1381.8544,311,0.162,0.137,0,0,1.084,0.447,6299.217,3984.261,ECO_13
GRSL,SLC,404317111503601,"Parleys Creek at Sugarhouse Park at Salt Lake City, UT",10.14125,66.9991,23.08,-2.19,8.22,2.61,4.69,1350,1608,1468.682,258,0.142,0.116,16.9945,0.3115,0.893,0.382,4111.4,2802,ECO_13
GRSL,SLC,404349111512201,"Emigration Creek at 1200 East at Salt Lake City, UT",10.41168,63.952,23.41,-2.05,8.09,2.51,4.26,1339,1591,1483.3212,252,0.142,0.116,20.4865,0.2935,0.893,0.382,4111.4,2802,ECO_13
GRSL,SLC,404430111495301,"Emigration Creek at 1300 South at Salt Lake City, UT",10.19985,65.4271,23.16,-2.18,8.19,2.55,3.06,1419,1591,1515.7126,172,0.13,0.104,12.0305,0.151,0.796,0.363,3117,2243.333,ECO_13
GRSL,SLC,405854111534801,"Farmington Creek at Frontage Road at Farmington, UT",10.41957,62.9108,23.50,-2.48,8.21,1.90,3.23,1297,1597,1405.5718,300,0.097,0.07,19.745,0.3065,0.72,0.319,2838.666,2507.666,ECO_13
GRSL,SLC,410041111581101,"Baer Creek at Frontage Road at Kaysville, UT",10.41556,64.0995,23.54,-2.53,8.51,1.97,3.58,1311,1602,1387.8347,291,0.147,0.122,20.219,0.2685,1.221,0.478,7541.5,3867.25,ECO_13
GRSL,SLC,410148111535301,"Baer Creek at Fruit Heights, UT",9.374179,71.6679,22.34,-3.23,9.11,2.09,0.1,1466,1602,1532.6106,136,0,0,22.0535,0.242,0,0,0,0,ECO_13
GRSL,SLC,410231111565001,"Holmes Creek at Main Street at Layton, UT",10.07199,66.9393,23.16,-2.79,8.84,1.98,2.3,1317,1574,1398.5094,257,0.166,0.142,29.936,0.2615,1.414,0.567,9498,4599,ECO_13
GRSL,SLC,410250111571501,"North Fork of Holmes Creek at Main Street at Layton, UT",10.10005,66.7661,23.19,-2.80,8.81,1.95,6.91,1316,1592,1419.3512,276,0.151,0.126,13.4255,0.29,1.268,0.523,8147.778,4227.111,ECO_13
GRSL,SLC,410342111574201,"Kays Creek at Layton, UT",9.790443,68.1223,22.84,-3.10,8.77,1.94,14.32,1329,1590,1441.3214,261,0.094,0.065,19.0965,0.276,1.497,0.59,3932.8,2984.8,ECO_13
GRSL,SLC,410453111570001,"Kays Creek at 1000 East at Layton, UT",9.60524,69.0235,22.63,-3.25,8.80,1.95,10.22,1360,1590,1464.8108,230,0.127,0.104,24.593,0.213,1.186,0.533,8009.7,4201.5,ECO_13
GRSL,SLC,410501111555201,"South Fork of Kays Creek at Layton, UT",9.619557,69.0197,22.64,-3.21,8.83,1.94,3.09,1394,1586,1477.3024,192,0.127,0.104,11.113,0.15,1.055,0.541,6614,4319,ECO_13
GRSL,SLC,410522111541201,"South Fork Kays Creek at Fernwood Picnic Area at Salt Lake City, UT",4.109386,115.2334,16.49,-7.00,14.00,2.88,3.94,1576,2945,2353.0898,1369,0.136,0.113,27.2585,0.3045,1.238,0.54,8353.154,4293.231,ECO_13
GRSL,SLC,411407111580501,"Ogden River at Washington Avenue at Ogden, UT",9.040518,73.3255,21.98,-4.00,8.56,2.29,4.45,1310,1489,1369.6149,179,0.129,0.097,26.51,0.2635,1.375,0.636,6145.6,4434.6,ECO_13
GRSL,SLC,411413111554601,"Ogden River at Valley Drive Ogden, UT",7.461427,86.3472,20.23,-5.27,10.01,2.50,0.9,1340,1489,1415.1075,149,0,0,0,0,0,0,0,0,ECO_13
GRSL,SLC,411413111564101,"Ogden River at Harrison Avenue at Ogden, UT",8.603803,76.8156,21.49,-4.35,8.84,2.34,3.08,1322,1489,1387.7407,167,0.117,0.088,14.7885,0.2755,1.494,0.719,5514.8,4137.799,ECO_13
GRSL,SLC,414258111502001,"Logan River at Golf Course Road at Salt Lake City, UT",8.279468,51.8872,21.32,-5.25,6.67,1.81,4.58,1370,1481,1404.0322,111,0.141,0.119,0,0,1.185,0.571,7115.6,4953.6,ECO_13
MOBL,BIR,02397939,"Chappel Creek at Long Branch Road near Trion, GA",14.81925,150.5394,25.48,3.59,16.66,9.58,14.32,211,499,274.4253,288,0.155,0.104,38.7695,0.2955,0.406,0.125,2325.5,2007.5,ECO_67
MOBL,BIR,02398001,"Town Branch near Summerville, GA",15.17256,151.5479,25.84,3.95,16.78,9.98,4.7,194,294,220.1278,100,0.141,0.088,32.801,0.266,0.649,0.137,3009,2063.083,ECO_67
MOBL,BIR,02400675,"Unnamed Tributary to Big Wills Creek at State Route 35 near Fort Payne, AL",14.66441,148.6747,25.23,3.38,15.97,9.49,12.11,250,530,324.3781,280,0.146,0.09,31.643,0.2575,0.669,0.148,2976.434,1999.739,ECO_67
MOBL,BIR,02400725,"Mush Creek near Portersville, AL",14.85199,146.8744,25.37,3.61,15.60,9.55,24.47,219,493,317.0813,274,0.173,0.122,39.6545,0.2995,0.76,0.165,3839.227,2668.772,ECO_67
MOBL,BIR,02400800,"Little Wills Creek at Collins Chapel Road at Collinsville, AL",15.11112,145.3405,25.60,3.89,15.37,9.60,27.88,209,439,288.635,230,0.137,0.086,33.7665,0.272,0.627,0.126,3012.8,2107.1,ECO_67
MOBL,BIR,02401350,"Big Canoe Creek at Canoe Creek Road near Springville, AL",15.52301,151.4869,25.77,4.51,15.36,7.74,54.37,216,441,314.1636,225,0.162,0.113,39.216,0.273,0.48,0.107,2830.762,2192.333,ECO_67
MOBL,BIR,02401355,"Unnamed Tributary to Big Canoe Creek near Springville, AL",15.70582,148.622,25.95,4.71,15.09,7.61,10.5,217,455,275.7978,238,0.165,0.111,38.3085,0.288,0.59,0.144,2625.641,1916.717,ECO_67
MOBL,BIR,02401749,"Williams Branch near Jacksonville, AL",15.77967,143.1254,25.97,4.90,14.83,8.34,23.92,181,519,259.6495,338,0.154,0.096,32.309,0.2485,0.663,0.15,3072.698,2060.867,ECO_67
MOBL,BIR,02401760,"Little Tallaseehatchee Creek near Weaver, AL",15.63712,146.0266,25.77,4.80,15.16,8.46,38.12,191,623,284.6141,432,0.154,0.099,34.676,0.256,0.593,0.108,3352.363,2392.454,ECO_67
MOBL,BIR,02403380,"Snow Cr below Anniston , AL",15.82762,145.4091,25.89,5.05,15.38,8.43,44.72,187,510,271.5418,323,0.147,0.093,33.5665,0.267,0.62,0.141,2841.66,1988.78,ECO_67
MOBL,BIR,02406930,"Shirtee Creek near Odena, AL",16.62473,143.5905,26.46,5.96,15.36,8.65,43.32,130,272,181.3839,142,0.159,0.109,37.37,0.271,0.494,0.113,2577.045,1961.545,ECO_67
MOBL,BIR,0242339575,"Little Cahaba River near Braggsville, AL",16.19827,141.2236,26.34,5.29,15.19,7.23,15.7,194,276,216.154,82,0.154,0.1,34.764,0.2595,0.594,0.11,3299.269,2362.769,ECO_67
MOBL,BIR,02423397,"Little Cahaba River below Leeds, AL",16.19675,141.4988,26.33,5.30,15.13,7.39,43.95,184,365,219.9583,181,0.154,0.1,32.5265,0.27,0.619,0.115,3198.6,2412.2,ECO_67
MOBL,BIR,02423515,"Patton Creek near Bluff Park below Patton Chapel, AL",16.32841,148.1591,26.44,5.41,15.07,8.43,28.77,142,342,241.0025,200,0.162,0.11,37.8235,0.266,0.625,0.149,2893.142,1965.5,ECO_67
MOBL,BIR,02423536,"Buck Creek at Buck Creek Road at Alabaster, AL",16.67191,146.7335,26.63,5.85,14.87,8.70,38.7,105,293,177.565,188,0.17,0.112,29.4425,0.291,0.722,0.157,2949.113,1986.545,ECO_67
MOBL,BIR,0242354650,"Cahaba Valley Creek at Indian Trail Road near Indian Springs, AL",16.49863,146.558,26.55,5.63,15.41,8.30,36.97,143,383,193.2979,240,0.162,0.108,34.811,0.273,0.642,0.109,3157.942,2256.457,ECO_67
MOBL,BIR,0242354750,"Cahaba Valley Creek at Cross Creek Road at Pelham, AL",16.5074,146.9453,26.55,5.64,15.44,8.37,66.07,131,390,190.4777,259,0.16,0.105,30.678,0.272,0.698,0.147,3057.592,2259.37,ECO_67
MOBL,BIR,02423576,"Shades Creek at Lakeshore Drive near Mountain Brook, AL",16.11389,147.1119,26.28,5.17,15.29,8.57,42.08,196,376,245.8018,180,0.163,0.115,39.171,0.2815,0.648,0.182,2432.627,1620.098,ECO_67
MOBL,BIR,02423581,"Shades Cr at Samford University at Homewood, AL",16.14641,147.104,26.31,5.20,15.17,8.55,56.3,190,355,235.3291,165,0.173,0.114,28.4735,0.295,0.739,0.159,2974.642,2003.428,ECO_67
MOBL,BIR,02423590,"Unnamed Tributary to Shades Creek near Oxmoor, AL",16.3259,147.105,26.47,5.38,15.13,8.19,5.99,186,294,219.5251,108,0.184,0.124,30.615,0.2975,0.675,0.121,2929.833,2010,ECO_67
MOBL,BIR,02423620,"Little Shades Creek at State Highway 150 near Bessemer, AL",16.4894,148.0889,26.60,5.56,15.51,8.59,21.68,158,290,202.244,132,0.179,0.118,26.461,0.284,0.982,0.277,3851.857,2155.892,ECO_67
MOBL,BIR,02423729,"Dry Creek at Spring Creek Road near Montevallo, AL",16.80789,146.1674,26.68,6.04,14.75,8.75,34.69,136,221,161.5003,85,0.182,0.121,30.283,0.299,0.824,0.191,3917.227,2215.818,ECO_67
MOBL,BIR,0242372950,"Spring Creek at County Road 16 near Moores Crossroads, AL",16.74519,146.9018,26.66,5.95,14.88,8.75,33.07,88,208,162.29,120,0.163,0.108,34.491,0.2655,0.649,0.117,3051.059,2186.029,ECO_67
MOBL,BIR,02456900,"Fivemile Creek at Fivemile Road near Huffman, AL",15.91332,148.2914,26.13,4.94,15.66,7.92,25.04,208,380,260.9221,172,0.168,0.122,39.556,0.289,0.671,0.191,2621.225,1678.129,ECO_67
MOBL,BIR,02456980,"Fivemile Creek at Lawson Road near Tarrant City, AL",16.0152,147.3525,26.22,5.04,15.69,7.95,48.66,172,271,227.4413,99,0.162,0.113,37.089,0.2775,0.502,0.114,3016.521,2272.195,ECO_67
MOBL,BIR,02458150,"Village Creek at East Lake in Birmingham, AL",16.07654,147.1266,26.27,5.11,15.82,8.18,14.22,190,378,236.6551,188,0.157,0.103,34.204,0.2685,0.609,0.104,3185.578,2316.526,ECO_67
MOBL,BIR,02461200,"Valley Creek at Cleburn Avenue at Powderly, AL",16.50649,143.9981,26.65,5.56,14.89,7.95,52.1,157,316,185.9419,159,0.162,0.107,36.657,0.275,0.608,0.088,3246.09,2237.818,ECO_67
MOBL,BIR,02461670,"Five Mile Creek at Nevel Rd near McCalla, AL",16.6721,149.0465,26.74,5.75,15.46,8.09,33.9,135,233,166.2444,98,0.161,0.108,33.9655,0.276,0.571,0.098,3062.777,2205.889,ECO_67
NECB,BOS,01072540,"Little River near Lebanon, ME",7.343891,127.0129,20.37,-6.48,14.04,8.60,45.85,91,274,150.4743,183,0.112,0.047,4.6015,0.2565,1.33,0.317,9401.777,4952.511,ECO_59
NECB,BOS,01072650,"Greatworks River near North Berwick, ME",7.737813,126.1022,20.67,-5.92,14.20,8.53,60.16,43,263,100.6808,220,0.095,0.043,4.2455,0.206,1.495,0.345,17852.967,8142.377,ECO_59
NECB,BOS,01072845,"Isinglass River Batchelder Road near center Strafford, NH",7.614109,127.1846,20.59,-6.12,13.66,8.12,59.41,83,427,191.6255,344,0.118,0.053,5.5245,0.111,0.419,0.107,2010.83,1835.101,ECO_59
NECB,BOS,01072904,"Bellamy River at Bellamy Road near Dover, NH",8.217413,117.7189,21.15,-5.35,13.07,7.67,68.46,18,153,64.6471,135,0.124,0.056,5.6915,0.116,0.45,0.11,2151.72,1948.53,ECO_59
NECB,BOS,01073260,"Lamprey River Cotton Rd near Deerfield, NH",7.894763,122.5952,20.86,-5.78,13.25,7.74,83.09,66,347,160.1816,281,0.115,0.054,5.9975,0.1005,0.708,0.184,4264.03,2919.182,ECO_59
NECB,BOS,01073458,"North River at Route 152 near Nottingham, NH",8.021586,120.4666,20.96,-5.60,13.17,7.76,74.85,38,347,124.4391,309,0.123,0.06,8.0825,0.119,0.567,0.136,4162.42,2838.14,ECO_59
NECB,BOS,010734833,"Little River at Cartland Road at Lee, NH",8.188313,117.3165,21.13,-5.39,12.95,7.65,52.17,32,182,88.6192,150,0.122,0.056,5.504,0.113,0.512,0.112,3051.584,2261.883,ECO_59
NECB,BOS,01089743,"Little Suncook River Blackhall Road at Epsom, NH",7.589587,127.8726,20.58,-6.17,13.82,8.06,101.35,106,426,212.184,320,0.12,0.055,5.028,0.111,0.515,0.105,2581.512,2126.464,ECO_59
NECB,BOS,01090477,"Black Brook Dunbarton Rd near Manchester, NH",7.796537,115.8631,20.84,-6.04,12.06,7.44,53.65,82,280,181.8313,198,0.12,0.056,5.026,0.112,0.494,0.095,2324.274,2027.627,ECO_59
NECB,BOS,01094005,"Baboosic River Bedford Road near Merrimack, NH",8.148045,115.4026,21.15,-5.57,11.93,7.62,73,57,390,131.4565,333,0.119,0.055,5.082,0.11,0.53,0.11,3101.95,2279.388,ECO_59
NECB,BOS,01095220,"Stillwater River near Sterling, MA",7.958818,124.3266,20.81,-5.51,12.70,8.11,78.7,122,609,236.3156,487,0.122,0.056,5.241,0.112,0.524,0.118,2693.14,2187.295,ECO_59
NECB,BOS,01096544,"Stony Brook at School Street at Chelmsford, MA",8.794436,120.1635,21.69,-4.58,12.68,8.22,107.67,22,187,78.5992,165,0.123,0.057,4.459,0.107,0.766,0.193,3333.895,3004.017,ECO_59
NECB,BOS,010965852,"Beaver Brook at North Pelham, NH",8.408139,119.9925,21.33,-5.09,12.35,8.13,121.7,45,193,105.5868,148,0.12,0.053,5.04,0.105,0.634,0.169,4122.234,2746.084,ECO_59
NECB,BOS,01096710,"Assabet River at Allen Street at Northborough, MA",8.779476,120.5149,21.57,-4.50,12.55,8.08,76.4,73,228,128.2857,155,0.11,0.048,4.6535,0.0965,0.55,0.139,2542.951,2358.819,ECO_59
NECB,BOS,01096945,"Elizabeth Brook off White Pond Road near Stow, MA",8.75765,121.1985,21.62,-4.59,12.52,8.15,48.54,54,194,105.7669,140,0.093,0.042,3.465,0.083,0.576,0.136,3287.949,2945.61,ECO_59
NECB,BOS,01097270,"Fort Pond Brook at River Road near South Acton, MA",8.909693,121.7857,21.77,-4.40,12.68,8.19,53.75,47,140,79.3326,93,0.13,0.058,6.0145,0.125,0.435,0.124,2388.833,2137.666,ECO_59
NECB,BOS,01097476,"Sudbury River at Concord Street at Ashland, MA",9.038047,121.8817,21.77,-4.12,12.88,8.14,89.56,55,212,108.6006,157,0.137,0.059,6.045,0.1205,0.619,0.156,2357.145,2170.395,ECO_59
NECB,BOS,01101500,"Ipswich River at South Middleton, MA",9.48084,123.0612,22.15,-3.45,12.80,8.82,115.3,14,129,32.569,115,0.136,0.06,6.1165,0.1255,0.513,0.158,2524.662,2141.891,ECO_59
NECB,BOS,01102345,"Saugus River at Saugus Ironworks at Saugus, MA",9.688122,122.4736,22.26,-3.07,13.02,8.75,60.4,2,81,30.8886,79,0.135,0.059,6.263,0.1245,0.494,0.132,2229.96,2026.894,ECO_59
NECB,BOS,01102500,"Aberjona River (head of Mystic River) at Winchester, MA",9.573009,121.5167,22.22,-3.32,12.68,8.70,58.2,1,111,35.8389,110,0.106,0.045,4.494,0.0985,0.538,0.112,3252.414,2822.2,ECO_59
NECB,BOS,011032058,"Charles River at Maple Street at North Bellingham, MA",9.277867,124.2639,21.90,-3.72,13.29,8.44,54.2,59,177,97.7995,118,0.118,0.052,5.1255,0.107,0.524,0.138,2533.106,2318.379,ECO_59
NECB,BOS,01105000,"Neponset River at Norwood, MA",9.636638,121.9312,22.18,-3.15,13.30,8.37,84.9,17,145,64.1259,128,0.127,0.056,6.209,0.1175,0.613,0.139,3143.184,2799.032,ECO_59
NECB,BOS,01105504,"East Branch Neponset River at Canton, MA",9.726118,125.635,22.20,-2.92,13.55,8.63,72.85,17,147,64.3511,130,0.104,0.047,3.7785,0.092,0.683,0.155,3532.506,3128.373,ECO_59
NECB,BOS,01105581,"Monatiquot River at River Street at Braintree, MA",9.834538,129.1011,22.26,-2.70,13.31,8.54,71.22,16,191,51.3165,175,0.116,0.054,3.7375,0.0985,0.862,0.209,3769.166,3368.583,ECO_59
NECB,BOS,01106468,"Matfield River at North Central Street at East Bridgewater, MA",9.88087,129.2303,22.26,-2.58,13.55,8.36,79.75,11,97,46.231,86,0.111,0.048,5.429,0.109,0.31,0.086,2283.69,2042.73,ECO_59
NECB,BOS,01109000,"Wading River (head of Threemile River) near Norton, MA",9.798933,122.5147,22.20,-2.82,13.67,8.46,113.4,18,132,54.4882,114,0.085,0.037,3.613,0.0805,0.41,0.088,3082.912,2720,ECO_59
