SUID,CITY,STAID,sname,AnnMeanT,AnnMeanP,AnnMaxT,AnnMinT,AnnMaxP,AnnMinP,DAkm2,MIN_ELEV,MAX_ELEV,MEANELEV,RELIEF,AWCH,AWCL,CLYAVE,KFCAVE,ORMH,ORML,SOC100CM,SOC30CM,DomEcoReg
SPLT,DEN,395707105100401,"Coal Creek abv Mccaslin Rd at Superior, CO",8.83912,45.76705,20.58,-1.59,7.32,1.43,23.1264,1673.6837,1994.1426,1816.0847,320.4589,0.153,0.12,31.7285,0.2355,0.452,0.205,1256,1204,ECO_25
SPLT,DEN,395958105113501,Dry Creek abv Baseline Rd nr Boulder CO,9.600856,42.79354,21.47,-1.02,7.00,1.36,10.5282,1607.8405,1750.6931,1666.4409,142.8527,0.141,0.11,24.105,0.243,0.704,0.275,3813.5,2388.5,ECO_25
SPLT,DEN,400000105125400,S Boulder Cr at Baseline Road nr Boulder Colo,9.148764,44.38902,20.92,-1.34,7.13,1.43,32.0832,1609.2113,1966.7496,1742.0546,357.5383,0.154,0.122,30.263,0.2545,0.472,0.215,1235.866,1190.8,ECO_25
SPLT,DEN,400023105142301,"Bear Cr abv Wellman Feeder Canal, at Boulder, CO",9.234113,43.30738,21.01,-1.31,6.91,1.46,6.1218,1607.1104,1943.4497,1717.8275,336.3394,0.142,0.108,19.918,0.2515,0.852,0.322,2884.833,2433,ECO_25
SPLT,DEN,400217105123701,"Boulder Creek blw 61st Street, nr Boulder, CO",9.494295,42.63696,21.32,-1.11,6.87,1.42,87.6069,1573.6575,1966.7496,1677.7892,393.0922,0.143,0.111,24.485,0.243,0.674,0.269,2552.329,1986.458,ECO_25
SPLT,DEN,400607105094401,"Dry Creek blw Niwot Rd, at Niwot, CO",9.68518,40.47441,21.62,-1.14,6.53,1.37,55.9503,1542.663,1903.3112,1623.0797,360.6482,0.156,0.124,26.9585,0.269,0.561,0.214,2148.111,1619.111,ECO_25
SPLT,DEN,400810105071301,Left Hand Creek abv Pike Rd at Longmont CO,9.814017,39.59713,21.81,-1.09,6.50,1.30,30.4947,1506.4862,1756.4738,1591.2979,249.9875,0.154,0.123,25.3185,0.279,0.608,0.211,2282.482,1770.586,ECO_25
SPLT,DEN,400855105090501,Dry Creek blw Airport Rd nr Longmont CO,9.803816,39.16082,21.81,-1.13,6.52,1.29,30.7332,1530.511,1710.364,1593.3872,179.853,0.163,0.128,31.6575,0.2745,0.584,0.195,2042.235,1510.029,ECO_25
SPLT,DEN,400925105023201,Spring Gulch at Sandstone Ranch Pk nr Longmont CO,9.926014,38.11325,22.15,-1.29,6.64,1.18,38.3337,1496.5712,1591.243,1535.3762,94.6719,0.17,0.138,23.628,0.3075,0.717,0.258,3721.179,2279.435,ECO_25
SPLT,DEN,402549105043101,"Dry Creek at US 287, at Loveland, CO",9.435288,40.49228,21.62,-1.76,7.07,1.22,17.6328,1517.1317,1712.6375,1565.4309,195.5057,0.167,0.136,29.022,0.3015,0.874,0.301,4631.176,2909.882,ECO_25
SPLT,DEN,403035105035301,"Mail Creek nr mouth at Fort Collins, CO",9.532567,39.8685,21.77,-1.67,7.03,1.11,4.1445,1495.5127,1578.5938,1542.4269,83.0811,0.165,0.134,27.504,0.301,0.771,0.251,4015,2618.666,ECO_25
