"","STATION","DATE","TIME","R","NH4","R.1","NO2","R.2","TKN","R.3","N2.3","R.4","TOTP","R.5","SRP","AGY","R.6","BOD","AGY.1","R.7","ECOL","R.8","FECAL","AGY.2","R.9","wtemp","R.10","bpres","R.11","flow","R.12","cond","R.13","DO","R.14","DOPCT","R.15","pH","R.16","SSC","R.17","SSF","R.21","P04035","R.23","P04040","R.41","P39415","R.44","P39572","R.45","P39632","R.62","P49300","R.88","P82670","R.94","P82676","MapNumber","Longitude","Latitude","Class","Size","LU.Ag","LU.For","LU.Resid","LU.Other","Month","NumCrops"
"12",4.41e+14,19960513,1150,NA,0.05,NA,NA,NA,NA,NA,0.86,NA,0.16,NA,0.085,"ODEQ",NA,1.5,"ODEQ",">",1600,">",1600,"OHD",NA,17.76,NA,NA,NA,1.36,NA,278,NA,7.95,NA,83.4,NA,7.4,NA,10,NA,81,NA,0.005,"E",0.024,NA,0.009,"<",0.002,NA,0.027,"E",0.63,NA,0.045,NA,0.01,"106",-123.228611111111,44.2152777777778,"AGRICULTURAL",5364,84,0,11,4,"May",13
"13",4.41e+14,19960724,950,"E",0.039,"<",0.005,NA,2.94,NA,0.03,NA,0.894,NA,0.119,"USA","<",2,"POR",NA,380,NA,840,"EUG",NA,23.5,NA,760,"E",0.1,NA,353,NA,5.35,NA,63.233,NA,7.39,NA,12,NA,97,"<",0.005,"E",0.026,"<",0.002,"<",0.002,NA,0.02,"E",0.16,"<",0.01,"<",0.003,"106",-123.228611111111,44.2152777777778,"AGRICULTURAL",5364,84,0,11,4,"Jul",13
"14",4.41e+14,19961024,1530,"E",0.036,NA,NA,NA,1.02,NA,1.71,NA,0.283,NA,0.25,"USA","<",2,"POR",NA,60,NA,200,"EUG",NA,12.92,NA,747,NA,0.39,NA,410,NA,NA,NA,NA,NA,7.02,NA,18,NA,74,"<",0.005,"E",0.0133,NA,0.0663,"<",0.002,NA,0.0402,"E",1.7,NA,0.0146,"<",0.003,"106",-123.228611111111,44.2152777777778,"AGRICULTURAL",5364,84,0,11,4,"Oct",13
"15",4.41e+14,19961118,1250,NA,0.09,NA,NA,NA,1.6,NA,3.5,NA,0.3,NA,0.173,"ODEQ",NA,NA,"POR",NA,2200,NA,3300,"EUG",NA,8.44,NA,741,NA,40.4,NA,156,NA,8.31,NA,72.947,NA,6.82,NA,79,NA,98,NA,0.0252,"E",0.0087,NA,0.16,"<",0.002,NA,0.0414,"E",3.1,"<",0.01,NA,0.0068,"106",-123.228611111111,44.2152777777778,"AGRICULTURAL",5364,84,0,11,4,"Nov",13
"16",4.42e+14,19960418,1600,NA,NA,NA,NA,NA,NA,NA,0.87,NA,0.03,NA,NA,"USGS",NA,NA,NA,NA,NA,NA,NA,NA,NA,12.38,NA,760,NA,4.17,NA,61.4,NA,10.22,NA,95.871,NA,6.46,NA,NA,NA,NA,NA,0.01,"E",0.093,"<",0.002,"<",0.002,NA,0.52,"<",0.02,"<",0.01,"<",0.003,"104",-123.295,44.3116666666667,"AGRICULTURAL",1666,55,26,9,10,"Apr",11
"17",4.42e+14,19960513,1300,NA,0.02,NA,NA,NA,NA,NA,0.97,NA,0.03,NA,0.006,"ODEQ",NA,0.8,"ODEQ",NA,275,NA,300,"OHD",NA,13.71,NA,NA,NA,2.08,NA,78.4,NA,10.04,NA,NA,NA,6.54,NA,8,NA,85,"<",0.005,"E",0.04,"E",0.002,"<",0.002,NA,0.32,"E",0.03,"<",0.01,"<",0.003,"104",-123.295,44.3116666666667,"AGRICULTURAL",1666,55,26,9,10,"May",11
"18",4.42e+14,19960724,1140,"<",0.02,"E",0.005,NA,1.03,NA,0.93,NA,0.218,"<",0.01,"USA","<",2,"POR",NA,520,NA,800,"EUG",NA,20.5,NA,760,"E",0.15,NA,87.6,NA,6.28,NA,69.974,NA,6.88,NA,97,NA,81,NA,0.008,"E",0.1,"E",0.003,"<",0.002,NA,0.26,NA,0.05,"<",0.01,"<",0.003,"104",-123.295,44.3116666666667,"AGRICULTURAL",1666,55,26,9,10,"Jul",11
"19",4.42e+14,19961024,1330,"<",0.02,NA,NA,NA,0.382,NA,0.395,NA,0.06,"<",0.01,"USA","<",2,"POR",NA,900,NA,490,"EUG",NA,11.29,NA,747,NA,0.15,NA,92,NA,6.75,NA,62.858,NA,6.87,NA,13,NA,72,"<",0.005,"E",0.0518,NA,0.007,"<",0.002,NA,0.405,"<",0.02,"<",0.01,"<",0.003,"104",-123.295,44.3116666666667,"AGRICULTURAL",1666,55,26,9,10,"Oct",11
"20",4.42e+14,19961118,1030,NA,0.07,NA,NA,NA,1.1,NA,1.8,NA,0.13,NA,0.029,"ODEQ",NA,NA,"POR",NA,1700,NA,1700,"EUG",NA,9.09,NA,744,NA,10.7,NA,79,NA,9.66,NA,85.763,NA,6.79,NA,82,NA,95,"<",0.005,"E",0.128,NA,0.004,"<",0.002,NA,1.34,"E",1.7,"<",0.01,NA,0.0081,"104",-123.295,44.3116666666667,"AGRICULTURAL",1666,55,26,9,10,"Nov",11
"21",4.43e+14,19960424,1730,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.015,"E",0.034,NA,0.28,"<",0.002,NA,0.8,NA,NA,"<",0.01,NA,0.046,"94",-123.123055555556,44.4616666666667,"AGRICULTURAL",2167,84,0,5,10,"Apr",8
