"Baetisca rogersi Berner","Caenis sp.","Caenis anceps Traver","Dannella simplex (McDunnough)","Drunella doddsi (Needham)","Drunella flavilinea (McDunnough)","Drunella grandis (Eaton)","Drunella tuberculata (Morgan)","Ephemerella sp.","Ephemerella dorothea Needham","Ephemerella inermis Eaton","Eurylophella sp.","Serratella deficiens (Morgan)","Serratella micheneri (Traver)","Serratella serrata (Morgan)","Serratella tibialis (McDunnough)","Timpanoga hecuba (Eaton)",Leptohyphidae,"Tricorythodes sp.","Neochoroterpes sp.","Paraleptophlebia sp.","Anthopotamus sp.","Centroptilum/Procloeon sp.","Acentrella insignificans (McDunnough)","Acentrella turbida (McDunnough)","Acerpenna sp.","Acerpenna pygmaea (Hagen)","Apobaetis indeprensus Day","Baetis flavistriga McDunnough","Baetis intercalaris McDunnough","Baetis pluto McDunnough","Baetis tricaudatus Dodds","Callibaetis sp.","Camelobaetidius sp.","Diphetor hageni (Eaton)","Fallceon quilleri (Dodds)","Heterocloeon sp.","Paracloeodes minutus (Daggy)","Plauditus sp.","Pseudocloeon sp.","Pseudocloeon propinquum (Walsh)","Siphlonurus sp.","Cinygmula sp.","Epeorus sp.","Epeorus albertae (McDunnough)","Epeorus longimanus (Eaton)","Heptagenia sp.","Ironodes sp.","Leucrocuta sp.","Rhithrogena sp.","Stenacron sp.","Stenacron interpunctatum (Say)","Stenonema modestum (Banks)/smithae Traver","Stenonema femoratum (Say)","Stenonema mediopunctatum (McDunnough)","Stenonema terminatum (Walsh)","Stenonema vicarium (Walker)","Isonychia sp.",MANUII,NUII,NLCD2,NLCD4,NLCD7,NLCD8,NLCD.IS,City,SUID,STAID,SampleID
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.27705995,43.88994808,60.55829852,35.04707458,0.942491055,1.364263298,16.8749,ATL,ACFB,2336728,107586
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,18,25.60569057,15.99824117,22.06377713,44.82090046,3.818765022,18.96605641,4.61057,ATL,ACFB,2336822,107293
0,10,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,0,0,0,0,0,0,0,0,0,334,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,36.67934041,22.18769432,35.56063513,39.58801039,3.089922038,15.16252364,8.9042,ATL,ACFB,2336876,107298
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,48.09535731,28.744403,43.08486032,40.778899,1.659884428,9.725652545,9.53476,ATL,ACFB,2336968,107280
0,0,0,11,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,3,15,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,15.44713794,10.41157285,13.44702126,58.03694445,4.706746199,15.59785164,2.44127,ATL,ACFB,2337395,107658
0,0,0,5,0,0,0,0,0,0,0,16,13,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,2,7,0,0,0,0,4,8.834061807,6.866117123,7.284117269,59.1785382,4.690510203,21.70294746,1.52927,ATL,ACFB,2338280,107703
0,0,0,20,0,0,0,20,0,4,0,51,32,0,0,0,0,0,0,0,0,0,6,0,0,0,6,0,0,0,23,0,0,0,0,0,0,0,22,16,0,0,0,5,0,0,1,0,0,0,0,0,26,0,0,0,0,7,5.034654234,4.738604112,4.772789116,55.33061224,5.214693878,28.22748299,0.801241,ATL,ACFB,2338375,107668
0,0,0,21,0,0,0,0,0,3,0,32,3,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,6,53,0,0,0,0,0,0,3,0,0,0,0,0,20,0,0,0,0,5,1.036951082,2.6476524,2.81352826,70.43816902,8.696738723,11.27077346,0.376296,ATL,ACFB,2338523,107679
0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,3,4.669732987,4.562235858,5.912992701,68.11094891,8.428613139,10.44671533,1.00747,ATL,ACFB,2339480,107614
0,32,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,6,29,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,3.31518933,3.854244032,4.94053065,61.99173104,5.885554796,18.7036029,0.704321,ATL,ACFB,2340282,107258
0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,208,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,8,19,0,0,0,0,0,37.87916735,23.05608916,38.34812964,39.70283345,2.64915918,9.209150674,11.954,ATL,ACFB,2344340,107648
0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,24.5298225,15.49433545,22.9064496,46.62857913,4.337934173,17.66857104,6.43799,ATL,ACFB,2344480,107610
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.25796337,15.87169666,25.08491972,45.62123767,2.868128019,15.44928032,6.28797,ATL,ACFB,2344737,107302
