Plot,Species,High class,Numb,type
120,???,1,2,4
1,????,0.5,1,5
12,????,0.5,1,5
18,????,0.5,1,5
19,????,0.5,1,5
29,????,0.5,3,5
31,????,0.5,,5
44,????,0.5,1,5
45,????,0.5,4,5
47,????,0.5,5,5
52,????,0.5,1,5
55,????,0.5,1,5
56,????,0.5,4,5
58,????,0.5,1,5
59,????,0.5,1,5
71,????,0.5,1,5
73,????,0.5,2,5
93,????,0.5,4,5
95,????,0.5,6,5
108,????,0.5,1,5
109,????,0.5,1,5
118,????,0.5,1,5
126,????,0.5,1,5
127,????,0.5,1,5
128,????,0.5,2,5
15,????,1,1,5
29,????,1,2,5
32,????,1,2,5
33,????,1,1,5
38,????,1,5,5
39,????,1,4,5
40,????,1,4,5
41,????,1,19,5
42,????,1,4,5
43,????,1,7,5
45,????,1,7,5
46,????,1,8,5
48,????,1,1,5
53,????,1,2,5
54,????,1,5,5
55,????,1,5,5
56,????,1,5,5
57,????,1,3,5
59,????,1,1,5
60,????,1,3,5
69,????,1,1,5
71,????,1,2,5
72,????,1,10,5
73,????,1,3,5
74,????,1,1,5
76,????,1,1,5
80,????,1,1,5
81,????,1,1,5
87,????,1,2,5
92,????,1,4,5
95,????,1,4,5
96,????,1,1,5
113,????,1,2,5
18,?????,0.5,2,2
20,?????,0.5,1,2
22,?????,0.5,1,2
40,?????,0.5,2,2
43,?????,0.5,1,2
55,?????,0.5,7,2
71,?????,0.5,3,2
75,?????,0.5,2,2
77,?????,0.5,1,2
93,?????,0.5,2,2
6,?????,1,1,2
14,?????,1,1,2
15,?????,1,1,2
16,?????,1,3,2
19,?????,1,2,2
29,?????,1,1,2
30,?????,1,6,2
32,?????,1,4,2
40,?????,1,2,2
41,?????,1,3,2
43,?????,1,2,2
44,?????,1,2,2
45,?????,1,3,2
51,?????,1,2,2
52,?????,1,1,2
53,?????,1,6,2
54,?????,1,4,2
56,?????,1,1,2
62,?????,1,3,2
71,?????,1,2,2
72,?????,1,2,2
76,?????,1,4,2
77,?????,1,2,2
79,?????,1,3,2
85,?????,1,3,2
88,?????,1,3,2
93,?????,1,4,2
96,?????,1,4,2
105,?????,1,1,2
110,?????,1,2,2
113,?????,1,1,2
114,?????,1,1,2
119,?????,1,10,2
121,?????,1,5,2
122,?????,1,5,2
123,?????,1,4,2
127,?????,1,4,2
1,??,0.5,1,4
7,??,0.5,2,4
8,??,0.5,1,4
12,??,0.5,1,4
13,??,0.5,1,4
16,??,0.5,1,4
17,??,0.5,3,4
21,??,0.5,1,4
31,??,0.5,1,4
37,??,0.5,1,4
42,??,0.5,1,4
47,??,0.5,2,4
51,??,0.5,1,4
52,??,0.5,1,4
68,??,0.5,1,4
69,??,0.5,1,4
71,??,0.5,1,4
72,??,0.5,2,4
80,??,0.5,1,4
82,??,0.5,2,4
93,??,0.5,1,4
106,??,0.5,1,4
109,??,0.5,1,4
112,??,0.5,1,4
5,??,1,2,4
26,??,1,1,4
30,??,1,2,4
35,??,1,1,4
40,??,1,1,4
48,??,1,1,4
59,??,1,1,4
60,??,1,1,4
83,??,1,1,4
85,??,1,1,4
2,???,0.5,1,2
6,???,0.5,1,2
31,???,0.5,1,2
32,???,0.5,1,2
95,???,0.5,1,2
22,???,1,1,2
23,???,1,1,2
29,???,1,1,2
38,???,1,1,2
54,???,1,1,2
56,???,1,1,2
59,???,1,2,2
61,???,1,1,2
88,???,1,1,2
89,???,1,1,2
99,???,1,1,2
110,???,1,1,2
111,???,1,1,2
62,??,0.5,1,1
81,??,1,1,1
95,??,1,1,1
43,???,0.5,1,5
46,???,0.5,4,5
48,???,0.5,1,5
49,???,0.5,2,5
51,???,0.5,1,5
52,???,0.5,6,5
53,???,0.5,3,5
57,???,0.5,2,5
60,???,0.5,2,5
82,???,0.5,1,5
84,???,0.5,1,5
86,???,0.5,1,5
98,???,0.5,1,5
113,???,0.5,1,5
59,???,1,1,5
60,???,1,1,5
82,???,1,2,5
91,???,1,1,5
92,???,1,2,5
94,???,1,1,5
107,???,1,1,5
113,???,1,3,5
29,???,0.2,2,5
14,???,0.5,2,5
17,???,0.5,2,5
18,???,0.5,10,5
19,???,0.5,1,5
20,???,0.5,7,5
22,???,0.5,2,5
42,???,0.5,1,5
52,???,0.5,2,5
55,???,0.5,4,5
56,???,0.5,2,5
61,???,0.5,2,5
62,???,0.5,2,5
67,???,0.5,1,5
69,???,0.5,3,5
70,???,0.5,3,5
71,???,0.5,4,5
72,???,0.5,4,5
73,???,0.5,2,5
74,???,0.5,3,5
75,???,0.5,6,5
76,???,0.5,5,5
77,???,0.5,1,5
80,???,0.5,5,5
81,???,0.5,4,5
82,???,0.5,3,5
87,???,0.5,1,5
95,???,0.5,2,5
97,???,0.5,1,5
106,???,0.5,1,5
108,???,0.5,1,5
111,???,0.5,1,5
24,???,1,2,5
26,???,1,2,5
34,???,1,1,5
37,???,1,1,5
55,???,1,1,5
56,???,1,4,5
57,???,1,2,5
71,???,1,2,5
72,???,1,2,5
73,???,1,4,5
85,???,1,2,5
95,???,1,1,5
18,????,0.5,1,2
38,????,0.5,1,2
42,????,0.5,1,2
71,????,0.5,1,2
82,????,0.5,2,2
40,????,1,3,2
72,????,1,1,2
79,????,1,1,2
85,????,1,1,2
21,????,0.5,1,4
22,????,0.5,1,4
37,????,0.5,1,4
42,????,0.5,2,4
43,????,0.5,5,4
45,????,0.5,4,4
46,????,0.5,2,4
47,????,0.5,2,4
52,????,0.5,1,4
53,????,0.5,1,4
56,????,0.5,4,4
72,????,0.5,2,4
78,????,0.5,1,4
82,????,0.5,2,4
83,????,0.5,1,4
87,????,0.5,1,4
94,????,0.5,1,4
95,????,0.5,3,4
101,????,0.5,1,4
115,????,0.5,4,4
17,????,1,3,4
18,????,1,4,4
26,????,1,1,4
39,????,1,4,4
40,????,1,1,4
48,????,1,1,4
57,????,1,2,4
71,????,1,1,4
73,????,1,1,4
74,????,1,1,4
80,????,1,3,4
85,????,1,1,4
87,????,1,4,4
88,????,1,1,4
94,????,1,1,4
7,???,0.5,2,5
62,???,0.5,1,5
63,???,0.5,2,5
101,???,0.5,1,5
60,???,1,1,5
95,???,1,1,5
38,????,0.5,1,4
44,????,0.5,1,4
46,????,0.5,1,4
49,????,0.5,1,4
71,????,0.5,1,4
29,????,1,1,4
40,????,1,3,4
44,????,1,1,4
16,????,0.5,1,4
17,????,0.5,1,4
20,????,0.5,2,4
21,????,0.5,2,4
24,????,0.5,1,4
25,????,0.5,1,4
19,????,1,6,4
21,????,1,1,4
24,????,1,1,4
21,???,0.5,1,5
25,???,0.5,1,5
58,???,1,1,5
63,???,1,1,5
64,???,1,1,5
98,???,1,1,5
8,???,0.5,2,5
17,???,0.5,2,5
18,???,0.5,4,5
21,???,0.5,1,5
31,???,0.5,1,5
45,???,0.5,2,5
46,???,0.5,2,5
69,???,0.5,2,5
71,???,0.5,2,5
74,???,0.5,2,5
79,???,0.5,1,5
109,???,0.5,2,5
118,???,0.5,4,5
39,???,1,8,5
40,???,1,,5
42,???,1,2,5
44,???,1,2,5
48,???,1,1,5
55,???,1,1,5
57,???,1,1,5
67,???,1,1,5
71,???,1,2,5
77,???,1,1,5
108,???,1,1,5
47,??,0.5,1,2
56,??,0.5,1,2
92,??,1,1,2
7,????,0.5,1,2
10,????,0.5,1,2
11,????,0.5,3,2
39,????,0.5,1,2
40,????,0.5,3,2
43,????,0.5,2,2
44,????,0.5,1,2
47,????,0.5,1,2
53,????,0.5,2,2
58,????,0.5,1,2
61,????,0.5,1,2
63,????,0.5,1,2
67,????,0.5,1,2
69,????,0.5,1,2
73,????,0.5,1,2
114,????,0.5,1,2
6,????,1,1,2
12,????,1,2,2
16,????,1,2,2
17,????,1,2,2
22,????,1,1,2
25,????,1,1,2
27,????,1,1,2
31,????,1,1,2
32,????,1,1,2
37,????,1,1,2
38,????,1,1,2
39,????,1,1,2
49,????,1,1,2
54,????,1,1,2
55,????,1,3,2
57,????,1,1,2
58,????,1,1,2
60,????,1,3,2
62,????,1,2,2
66,????,1,1,2
70,????,1,2,2
73,????,1,2,2
73,????,1,1,2
80,????,1,1,2
95,????,1,2,2
108,????,1,1,2
111,????,1,1,2
1,???,0.5,1,5
2,???,0.5,7,5
7,???,0.5,3,5
8,???,0.5,4,5
9,???,0.5,7,5
10,???,0.5,1,5
21,???,0.5,1,5
32,???,0.5,1,5
42,???,0.5,5,5
44,???,0.5,5,5
45,???,0.5,1,5
46,???,0.5,6,5
47,???,0.5,2,5
48,???,0.5,1,5
51,???,0.5,2,5
52,???,0.5,3,5
53,???,0.5,2,5
53,???,0.5,2,5
54,???,0.5,2,5
56,???,0.5,12,5
58,???,0.5,2,5
60,???,0.5,3,5
61,???,0.5,4,5
62,???,0.5,5,5
63,???,0.5,3,5
69,???,0.5,2,5
70,???,0.5,1,5
71,???,0.5,2,5
72,???,0.5,4,5
77,???,0.5,1,5
79,???,0.5,1,5
80,???,0.5,1,5
81,???,0.5,8,5
82,???,0.5,5,5
83,???,0.5,7,5
87,???,0.5,4,5
93,???,0.5,1,5
95,???,0.5,2,5
109,???,0.5,1,5
111,???,0.5,1,5
115,???,0.5,2,5
118,???,0.5,8,5
120,???,0.5,5,5
121,???,0.5,1,5
3,???,1,1,5
6,???,1,2,5
17,???,1,1,5
24,???,1,2,5
26,???,1,1,5
30,???,1,1,5
31,???,1,1,5
34,???,1,1,5
35,???,1,2,5
37,???,1,4,5
38,???,1,2,5
39,???,1,2,5
40,???,1,7,5
43,???,1,3,5
44,???,1,2,5
51,???,1,2,5
55,???,1,3,5
56,???,1,8,5
57,???,1,2,5
60,???,1,3,5
61,???,1,3,5
62,???,1,3,5
64,???,1,1,5
72,???,1,3,5
83,???,1,5,5
84,???,1,3,5
87,???,1,3,5
102,???,1,1,5
110,???,1,1,5
114,???,1,1,5
117,???,1,1,5
39,????,0.5,1,2
40,????,0.5,1,2
58,????,0.5,1,2
81,????,0.5,1,2
87,????,0.5,2,2
93,????,0.5,1,2
31,????,1,1,2
38,????,1,1,2
39,????,1,1,2
55,????,1,1,2
82,????,1,2,2
91,????,1,1,2
92,????,1,1,2
92,????,1,1,2
7,????,0.5,2,4
20,????,0.5,1,4
50,????,0.5,1,4
58,????,0.5,1,4
60,????,0.5,1,4
122,????,0.5,1,4
15,????,1,4,4
16,????,1,1,4
23,????,1,2,4
24,????,1,6,4
25,????,1,6,4
38,????,1,4,4
57,????,1,1,4
57,????,1,1,4
71,????,1,4,4
75,????,1,1,4
76,????,1,2,4
121,????,1,3,4
33,???,0.5,1,5
44,???,0.5,1,5
53,???,0.5,1,5
58,???,0.5,1,5
78,???,0.5,1,5
81,???,0.5,1,5
11,???,1,1,5
12,???,1,1,5
13,???,1,2,5
17,???,1,1,5
52,????,0.5,2,2
113,????,0.5,1,2
32,????,1,3,2
33,????,1,1,2
41,????,1,2,2
53,????,1,1,2
63,????,1,1,2
87,????,1,2,2
90,????,1,1,2
109,????,1,1,2
110,????,1,1,2
111,????,1,1,2
74,??,0.5,1,2
73,??,0.5,1,1
80,??,0.5,2,1
81,??,0.5,1,1
82,??,0.5,1,1
1,??,1,1,1
6,??,1,1,1
51,??,1,2,1
54,??,1,2,1
73,??,1,2,1
79,??,1,1,1
81,??,1,1,1
