# Searching for substation nr 72202.4 in v2.temperature.inv
# EVERGLADES                    (UNITED STATES OF AMERICA)
# coordinates:  25.86N,  -81.39E,    2m
# Near WMO station code: 72202.4 EVERGLADES                    
# prcp from v2.prcp_adj [mm/month]
 1977   37.1   18.0    0.8   45.7  110.2  299.7  373.9  176.8  243.3    8.4   32.0   65.3
 1978   55.1   99.6   99.8   45.5   86.1  307.3  174.8  164.6  261.9  145.0   73.9   75.2
 1979   61.5   11.2   16.5   41.4  151.6  196.1  233.4  320.8  255.5   91.9   42.2   75.4
 1980   31.8   26.9   53.3   70.1  115.6 -999.9  209.3  209.3  138.9    8.1   73.9   26.4
 1981   12.4   47.5   39.4    1.0   46.5  196.1  178.8  333.2  223.8   46.5   11.9    4.3
 1982    7.9   30.7   44.2  116.3  139.2  449.8 -999.9  294.9  157.7  120.4   36.1   16.5
 1983  154.9  148.3   91.9   24.1   16.8  272.3  203.2  231.4  407.2  309.9   45.2   63.8
 1984   11.4   20.3   89.7   21.6  108.0  146.1  355.3  218.7  167.9  105.9   34.3    4.6
 1985   32.5   11.4   29.0   53.3   72.6  103.1 -999.9   77.2   79.0 -999.9 -999.9 -999.9
 1986 -999.9 -999.9   42.2   31.2   12.4  417.6  117.1  294.6  106.4  141.2   32.3  193.5
 1987   25.7   44.2  159.8    1.0 -999.9  136.7  121.2  246.6  181.6   44.7  130.3    2.5
 1988   29.5   36.6   24.1   41.9   66.0  143.0   77.5  155.4  145.5   42.2   39.9   24.9
 1989   18.3    5.3   42.7   98.6    5.8  196.3  226.8  147.8  196.1  126.2    9.7   28.4
 1990    2.5   10.2   21.8   20.6  102.4  224.5  213.9  315.0  139.7  106.2   19.1    2.3
 1991   95.5   58.7   14.2   61.7  120.9  381.3  351.5  137.7  146.1   54.6   20.8    3.3
 1992    8.6   99.8   59.4   83.6   12.2  435.9  114.3  386.6  153.4   40.4   34.5    2.0
 1993  141.2   46.7   39.6   87.9  134.4   84.6  147.3  283.7  316.2  120.7   23.6   11.2
 1994  106.2   30.2   40.1  159.3   84.6  249.2  128.0  140.7  248.9  118.6 -999.9  108.0
 1995   73.4    7.6   29.0   91.7  258.6  519.2  146.8  371.9  219.7  231.4    5.1    8.9
 1996   47.0    4.3   40.6   42.4  181.4  367.0   94.7  118.1  148.3   43.4    1.8   22.9
 1997   51.8   30.5  140.7   21.8   58.4  197.6  129.0  187.5   93.7   38.9  126.2  197.4
 1998   32.8  101.6  158.5    0.0   46.0  222.3  209.3  271.0  167.4   63.8  265.4   39.6
 1999   70.9    0.5   14.0   27.7   54.4  291.1  162.3  125.5  471.4  193.5   90.7   13.2
 2000   21.8   16.0   10.7   69.9   40.9  174.8 -999.9  211.1  235.5  121.9    2.5    1.5
 2001    8.1    0.0   47.5   30.7   64.5  200.2  305.1  248.2  312.4  224.3 -999.9   55.9
 2002   35.1   13.5   25.9    8.6   54.1  401.8  217.4  141.7  301.5   66.5   66.8   23.9
 2003   20.1   29.0   72.6  120.9  160.0  315.0  220.0  261.4  328.7   36.1   50.0   23.1
 2004  108.5   71.4   18.3   79.0   19.3 -999.9 -999.9  408.9 -999.9 -999.9 -999.9 -999.9
 2005   14.7   14.2   67.3   62.0 -999.9 -999.9 -999.9 -999.9 -999.9  194.1   58.9   25.9
 2006    7.4  128.0    0.5 -999.9 -999.9 -999.9 -999.9 -999.9 -999.9 -999.9 -999.9 -999.9
