volume	n.cT	Ev.ID	MSrcCat	M.WTP.Type	ICR.PWSID
10	0	8764	SW	Y	AL0000133
10	0	8763	SW	Y	AL0000133
10	0	8764	SW	Y	AL0000133
10	0	8763	SW	Y	AL0000133
10	0	8764	SW	Y	AL0000133
10	0	8764	SW	Y	AL0000133
10	0	8763	SW	Y	AL0000133
10	0	8763	SW	Y	AL0000133
10	0	8763	SW	Y	AL0000133
10	0	8764	SW	Y	AL0000133
10	0	8764	SW	Y	AL0000133
10	0	8763	SW	Y	AL0000133
10	0	8816	SW	Y	AL0000184
10	0	8816	SW	Y	AL0000184
10	0	8816	SW	Y	AL0000184
10	0	8816	SW	Y	AL0000184
10.5	0	10736	SW	N	AL0000188
11	0	10736	SW	N	AL0000188
10	0	10736	SW	N	AL0000188
10	0	10736	SW	N	AL0000188
10	0	10736	SW	N	AL0000188
10	0	10736	SW	N	AL0000188
10	0	10736	SW	N	AL0000188
10.5	0	10736	SW	N	AL0000188
9.5	0	10736	SW	N	AL0000188
10.25	0	10736	SW	N	AL0000188
10	0	10736	SW	N	AL0000188
10	0	10736	SW	N	AL0000188
10.25	0	10736	SW	N	AL0000188
10.25	0	10736	SW	N	AL0000188
10	0	10736	SW	N	AL0000188
10	0	10736	SW	N	AL0000188
10.25	0	10736	SW	N	AL0000188
10	0	10736	SW	N	AL0000188
10	0	10736	SW	N	AL0000188
10.25	0	10728	SW	Y	AL0000279
11	0	10728	SW	Y	AL0000279
10.25	0	10728	SW	Y	AL0000279
10.25	0	10728	SW	Y	AL0000279
10	0	10728	SW	Y	AL0000279
10	0	10728	SW	Y	AL0000279
10.25	0	10728	SW	Y	AL0000279
10.25	0	10728	SW	Y	AL0000279
10.25	0	10728	SW	Y	AL0000279
10.25	0	10728	SW	Y	AL0000279
10.5	0	10728	SW	Y	AL0000279
10.25	0	10728	SW	Y	AL0000279
10	0	10728	SW	Y	AL0000279
10	0	10728	SW	Y	AL0000279
11.5	0	10728	SW	Y	AL0000279
10	0	10728	SW	Y	AL0000279
10.25	0	10728	SW	Y	AL0000279
10	0	10728	SW	Y	AL0000279
10.25	0	10728	SW	Y	AL0000279
10.5	0	10715	SW	Y	AL0000311
10.5	0	10715	SW	Y	AL0000311
10.5	0	10715	SW	Y	AL0000311
10	0	10715	SW	Y	AL0000311
10.5	0	10715	SW	Y	AL0000311
10.25	0	10715	SW	Y	AL0000311
11.25	0	10715	SW	Y	AL0000311
10.5	0	10715	SW	Y	AL0000311
10.25	0	10715	SW	Y	AL0000311
10.5	0	10715	SW	Y	AL0000311
10.25	0	10715	SW	Y	AL0000311
10.5	0	10715	SW	Y	AL0000311
10.5	0	10715	SW	Y	AL0000311
10.5	0	10715	SW	Y	AL0000311
10.25	0	10715	SW	Y	AL0000311
10.5	0	10715	SW	Y	AL0000311
10	0	10715	SW	Y	AL0000311
10.25	0	10715	SW	Y	AL0000311
10	0	10715	SW	Y	AL0000311
10.5	0	10716	SW	Y	AL0000314
10.5	0	10716	SW	Y	AL0000314
10.75	0	10716	SW	Y	AL0000314
10.5	0	10716	SW	Y	AL0000314
10.5	0	10716	SW	Y	AL0000314
11	0	10716	SW	Y	AL0000314
11	0	10716	SW	Y	AL0000314
10.5	0	10716	SW	Y	AL0000314
11	0	10716	SW	Y	AL0000314
10.5	0	10716	SW	Y	AL0000314
10.25	0	10716	SW	Y	AL0000314
10.5	0	10716	SW	Y	AL0000314
10.25	0	10716	SW	Y	AL0000314
10.5	0	10716	SW	Y	AL0000314
10.5	0	10716	SW	Y	AL0000314
11	0	10716	SW	Y	AL0000314
10.5	0	10716	SW	Y	AL0000314
10.25	0	10716	SW	Y	AL0000314
10.75	0	10716	SW	Y	AL0000314
10.25	0	10828	EMPTY	Y	AL0000321
11.5	0	10828	EMPTY	Y	AL0000321
11.25	0	10828	EMPTY	Y	AL0000321
10.75	0	10828	EMPTY	Y	AL0000321
11.25	0	10828	EMPTY	Y	AL0000321
10.5	0	10828	EMPTY	Y	AL0000321
10.75	0	10828	EMPTY	Y	AL0000321
11	0	10828	EMPTY	Y	AL0000321
10.5	0	10828	EMPTY	Y	AL0000321
10.75	0	10828	EMPTY	Y	AL0000321
10.5	0	10828	EMPTY	Y	AL0000321
10	0	10828	EMPTY	Y	AL0000321
10.75	0	10828	EMPTY	Y	AL0000321
10.5	0	10828	EMPTY	Y	AL0000321
10.75	0	10828	EMPTY	Y	AL0000321
11.25	0	10828	EMPTY	Y	AL0000321
10.25	0	10828	EMPTY	Y	AL0000321
11	0	10828	EMPTY	Y	AL0000321
11	0	8769	SW	Y	AL0000327
10.25	0	8769	SW	Y	AL0000327
11	0	8769	SW	Y	AL0000327
11	0	8769	SW	Y	AL0000327
10.5	0	8769	SW	Y	AL0000327
11	0	8769	SW	Y	AL0000327
11	0	8769	SW	Y	AL0000327
10.5	0	8769	SW	Y	AL0000327
11.25	0	8769	SW	Y	AL0000327
10	0	8769	SW	Y	AL0000327
10.5	0	8769	SW	Y	AL0000327
10.75	0	8769	SW	Y	AL0000327
10.75	0	8769	SW	Y	AL0000327
10.25	6	8769	SW	Y	AL0000327
10	0	8769	SW	Y	AL0000327
10.5	0	8769	SW	Y	AL0000327
10	0	8769	SW	Y	AL0000327
10.5	0	8769	SW	Y	AL0000327
10	0	8769	SW	Y	AL0000327
10	0	8769	SW	Y	AL0000327
10.25	0	8769	SW	Y	AL0000327
10.5	0	8769	SW	Y	AL0000327
10.5	0	8769	SW	Y	AL0000327
10.5	0	8769	SW	Y	AL0000327
10.5	0	8769	SW	Y	AL0000327
10.75	0	8769	SW	Y	AL0000327
11	0	8769	SW	Y	AL0000327
10.5	0	8769	SW	Y	AL0000327
10.5	0	8769	SW	Y	AL0000327
11	0	8769	SW	Y	AL0000327
10.75	0	8769	SW	Y	AL0000327
10.75	0	8769	SW	Y	AL0000327
10	0	8769	SW	Y	AL0000327
10.5	0	8769	SW	Y	AL0000327
10.5	0	8769	SW	Y	AL0000327
10	0	8769	SW	Y	AL0000327
10.25	0	8769	SW	Y	AL0000327
10.5	0	8769	SW	Y	AL0000327
10.75	0	10404	GW	Y	AL0000331
10.5	0	10404	GW	Y	AL0000331
10.25	0	10404	GW	Y	AL0000331
11	0	10404	GW	Y	AL0000331
11	0	10404	GW	Y	AL0000331
10.75	0	10404	GW	Y	AL0000331
11.25	0	10404	GW	Y	AL0000331
10	0	10404	GW	Y	AL0000331
11	0	10404	GW	Y	AL0000331
11	0	10404	GW	Y	AL0000331
10.5	0	10404	GW	Y	AL0000331
10.75	0	10404	GW	Y	AL0000331
10	0	10404	GW	Y	AL0000331
10.25	0	10404	GW	Y	AL0000331
11	0	10404	GW	Y	AL0000331
10.75	0	10404	GW	Y	AL0000331
10	2	10404	GW	Y	AL0000331
10	0	10404	GW	Y	AL0000331
10.5	0	8771	SW	Y	AL0000398
10.25	0	8771	SW	Y	AL0000398
10	0	8771	SW	Y	AL0000398
10.5	0	8771	SW	Y	AL0000398
10.75	0	8771	SW	Y	AL0000398
10.25	0	8771	SW	Y	AL0000398
10.25	0	8771	SW	Y	AL0000398
10	0	8771	SW	Y	AL0000398
10.5	0	8771	SW	Y	AL0000398
10.75	0	8771	SW	Y	AL0000398
10.25	0	8771	SW	Y	AL0000398
10.25	0	8771	SW	Y	AL0000398
10.5	0	8771	SW	Y	AL0000398
10.25	0	8771	SW	Y	AL0000398
10.5	0	8771	SW	Y	AL0000398
10.75	0	8772	SW	Y	AL0000509
10.75	0	8772	SW	Y	AL0000509
10.5	0	8772	SW	Y	AL0000509
10.25	0	8772	SW	Y	AL0000509
10.5	0	8772	SW	Y	AL0000509
10	0	8772	SW	Y	AL0000509
10.25	0	8772	SW	Y	AL0000509
10.25	0	8772	SW	Y	AL0000509
10	0	8772	SW	Y	AL0000509
11	0	8772	SW	Y	AL0000509
10.5	0	8772	SW	Y	AL0000509
10	0	8772	SW	Y	AL0000509
10	0	8772	SW	Y	AL0000509
10	0	8772	SW	Y	AL0000509
10.25	0	8772	SW	Y	AL0000509
11	0	8772	SW	Y	AL0000509
10	0	10607	SW	Y	AL0000547
10	0	10607	SW	Y	AL0000547
10	0	10607	SW	Y	AL0000547
10	0	10607	SW	Y	AL0000547
10.5	0	10607	SW	Y	AL0000547
10	0	10607	SW	Y	AL0000547
10	0	10607	SW	Y	AL0000547
10	0	10607	SW	Y	AL0000547
10	0	10607	SW	Y	AL0000547
10	0	10607	SW	Y	AL0000547
10	0	10607	SW	Y	AL0000547
10	0	10607	SW	Y	AL0000547
10	0	10607	SW	Y	AL0000547
10	0	10607	SW	Y	AL0000547
10	0	10607	SW	Y	AL0000547
10	0	10607	SW	Y	AL0000547
10	0	10607	SW	Y	AL0000547
10	0	10607	SW	Y	AL0000547
11.25	0	8818	SW	Y	AL0000548
10.5	0	8818	SW	Y	AL0000548
10.5	0	8818	SW	Y	AL0000548
11	0	8818	SW	Y	AL0000548
10.25	0	8818	SW	Y	AL0000548
10.5	0	8818	SW	Y	AL0000548
11	0	8818	SW	Y	AL0000548
10.5	0	8818	SW	Y	AL0000548
11	0	8818	SW	Y	AL0000548
11	0	8818	SW	Y	AL0000548
11	0	8818	SW	Y	AL0000548
10.75	0	8818	SW	Y	AL0000548
10.75	0	8818	SW	Y	AL0000548
