group,crop,carbon,sample.period,fertilizer,n.input,emission,EF,daily.em
15,none,3.7,167,A,180,0.55,0.305555556,3.293413174
15,none,3.7,167,A,180,1.37,0.761111111,8.203592814
15,none,3.7,355,A,180,1.74,0.966666667,4.901408451
15,none,3.7,355,A,180,3.62,2.011111111,10.1971831
16,legume,4.6,139,none,0,1.7,#DIV/0!,12.23021583
16,legume,2.5,139,none,0,2,#DIV/0!,14.38848921
16,legume,2.7,139,none,0,2.5,#DIV/0!,17.98561151
16,legume,2.5,139,A,250,12.1,4.84,87.05035971
16,legume,4.6,139,A,250,15,6,107.9136691
16,legume,2.7,139,A,250,19.6,7.84,141.0071942
17,legume,0.9,365,none,0,0.34,#DIV/0!,0.931506849
17,legume,5.4,365,none,0,0.65,#DIV/0!,1.780821918
17,legume,1.3,365,none,0,1.05,#DIV/0!,2.876712329
17,legume,3.6,365,none,0,1.35,#DIV/0!,3.698630137
17,legume,2.5,365,none,0,1.87,#DIV/0!,5.123287671
17,legume,2.9,365,none,0,1.97,#DIV/0!,5.397260274
18,none,,240,none,0,0.112,#DIV/0!,0.466666667
18,cereal,,300,U,150,0.929,0.619333333,3.096666667
18,cereal,,240,none,0,0.101,#DIV/0!,0.420833333
18,cereal,,300,none,0,0.44,#DIV/0!,1.466666667
19,corn,1.1,97,U,218,1.651,0.75733945,17.02061856
19,corn,1.1,90,U,218,3.226,1.479816514,35.84444444
19,corn,1.1,90,none,0,0.104,#DIV/0!,1.155555556
19,corn,1.1,97,none,0,0.108,#DIV/0!,1.113402062
20,rice,1.7,98,UM,112,0.059,0.052678571,0.602040816
20,rice,1.7,98,UM,120,0.055,0.045833333,0.56122449
20,rice,1.7,97,UM,192,0.028,0.014583333,0.288659794
20,rice,1.7,111,UM,192,0.057,0.0296875,0.513513514
20,rice,1.7,97,UM,192,0.164,0.085416667,1.690721649
20,rice,1.7,111,UM,200,0.121,0.0605,1.09009009
20,rice,1.7,98,U,120,0.131,0.109166667,1.336734694
