group,crop,carbon,sample.period,fertilizer,n.input,emission,EF,daily.em
66,rice,1.9,105,U,100,0.1702,0.1702,1.620952381
66,rice,2.1,36,U,122,0.00001,8.19672E-06,0.000277778
66,rice,3.3,36,U,122,0.0099,0.008114754,0.275
66,rice,2.1,36,U,122,0.0173,0.014180328,0.480555556
66,rice,2.8,36,U,122,0.0225,0.018442623,0.625
66,rice,3.3,36,U,122,0.0365,0.029918033,1.013888889
66,rice,2.8,36,U,122,1.1215,0.919262295,31.15277778
66,rice,1.9,105,U,300,0.6182,0.206066667,5.887619048
66,rice,1.9,105,none,0,0.1366,#DIV/0!,1.300952381
66,rice,1.9,105,A,100,0.1745,0.1745,1.661904762
66,rice,1.9,105,A,300,0.9811,0.327033333,9.343809524
67,grass,0.85,63,none,0,0.15,#DIV/0!,2.380952381
67,grass,0.85,63,A,52,0.15,0.288461538,2.380952381
67,grass,0.85,63,A,52,0.35,0.673076923,5.555555556
68,corn,,123,A,200,2.6,1.3,21.13821138
69,grass,1.7,63,none,0,0.020,#DIV/0!,0.317460317
69,grass,1.7,105,none,0,0.050,#DIV/0!,0.476190476
69,grass,1.7,105,none,0,0.100,#DIV/0!,0.952380952
69,grass,1.7,63,none,0,0.150,#DIV/0!,2.380952381
69,grass,1.7,63,none,0,0.220,#DIV/0!,3.492063492
69,grass,1.7,63,A,52,0.350,0.673076923,5.555555556
69,grass,1.7,63,A,82,0.090,0.109756098,1.428571429
69,grass,1.7,63,A,112,0.130,0.116071429,2.063492063
69,grass,1.7,63,A,112,0.150,0.133928571,2.380952381
69,grass,1.7,365,A,112,0.600,0.535714286,1.643835616
69,grass,1.7,63,A,117,0.480,0.41025641,7.619047619
69,grass,1.7,365,A,363,1.200,0.330578512,3.287671233
70,legume,,120,none,0,0.64,#DIV/0!,5.333333333
70,legume,,120,none,0,1.18,#DIV/0!,9.833333333
70,legume,,120,none,0,1.65,#DIV/0!,13.75
70,legume,,120,none,0,2.31,#DIV/0!,19.25
70,corn,,120,UAN,84,0.75,0.892857143,6.25
70,corn,,120,UAN,84,2.28,2.714285714,19
70,corn,,120,A,150,0.93,0.62,7.75
70,corn,,120,A,150,2.76,1.84,23
70,corn,,120,A,180,0.86,0.477777778,7.166666667
70,corn,,120,A,180,3.73,2.072222222,31.08333333
70,cereal,,120,none,0,1.88,#DIV/0!,15.66666667
71,none,3.2,31,none,0,0.00001,#DIV/0!,0.000322581
71,none,1.9,31,none,0,0.03,#DIV/0!,0.967741935
71,none,1.15,30,none,0,0.046,#DIV/0!,1.533333333
71,none,1.9,30,none,0,0.1,#DIV/0!,3.333333333
71,none,3.2,30,none,0,0.74,#DIV/0!,24.66666667
71,none,1.15,30,none,0,0.88,#DIV/0!,29.33333333
71,none,1.9,30,none,0,0.4,#DIV/0!,13.33333333
71,corn,1.9,30,unknown,150,3.21,2.14,107
71,corn,3.2,30,U,150,3.37,2.246666667,112.3333333
71,corn,1.15,30,A,280,0.9,0.321428571,30
72,corn,19,365,A,280,11,3.928571429,30.1369863
73,other,1.2,200,none,0,0.143,#DIV/0!,0.715
73,other,1.2,200,AN,75,1.092,1.456,5.46
73,grass,1.2,200,AN,120,0.498,0.415,2.49
74,cereal,,365,N,60,1.09,1.816666667,2.98630137
74,cereal,,365,N,60,1.621,2.701666667,4.44109589
74,cereal,,365,AN,108,0.97,0.898148148,2.657534247
74,cereal,,365,AN,210,1.182,0.562857143,3.238356164
75,grass,,365,UAN,175,1.06,0.604857143,2.9
75,grass,,365,UAN,350,1.53,0.436857143,4.189041096
75,grass,,365,none,0,0.96,#DIV/0!,2.62
76,vegetable,1.6,365,AN,90,1.23,1.366666667,3.369863014
76,grass,3.1,365,AN,215,6.58,3.060465116,18.02739726
76,corn,2.7,365,AN,150,2.27,1.513333333,6.219178082
76,cereal,0.94,365,AN,60,0.92,1.533333333,2.520547945
76,cereal,1.7,365,AN,60,0.99,1.65,2.712328767
76,cereal,1.6,365,AN,60,1.18,1.966666667,3.232876712
76,cereal,0.85,365,AN,60,1.74,2.9,4.767123288
76,cereal,1.7,365,AN,90,0.2,0.222222222,0.547945205
76,cereal,1.6,365,AN,90,0.5,0.555555556,1.369863014
76,cereal,0.85,365,AN,108,1.16,1.074074074,3.178082192
76,cereal,1,365,AN,144,0.93,0.645833333,2.547945205
76,cereal,0.94,365,AN,210,1.1,0.523809524,3.01369863
77,vegetable,,365,UAN,45,1.3,2.888888889,3.561643836
77,vegetable,,365,UAN,85,1.5,1.764705882,4.109589041
77,vegetable,,365,UAN,86,2.8,3.255813953,7.671232877
77,vegetable,,365,UAN,100,1.4,1.4,3.835616438
77,vegetable,,365,UAN,172,4,2.325581395,10.95890411
77,vegetable,,365,UAN,183,3.4,1.857923497,9.315068493
77,vegetable,,365,none,0,1,#DIV/0!,2.739726027
77,vegetable,,365,none,0,2.5,#DIV/0!,6.849315068
77,vegetable,,365,none,0,3.2,#DIV/0!,8.767123288
77,other,,365,UAN,35,3,8.571428571,8.219178082
77,other,,365,UAN,55,2.3,4.181818182,6.301369863
77,other,,365,UAN,70,1.9,2.714285714,5.205479452
77,other,,365,UAN,70,2.9,4.142857143,7.945205479
77,other,,365,UAN,110,3.6,3.272727273,9.863013699
77,other,,365,UAN,140,2.1,1.5,5.753424658
77,other,,365,none,0,1.5,#DIV/0!,4.109589041
77,other,,365,none,0,2.5,#DIV/0!,6.849315068
77,other,,365,none,0,2.6,#DIV/0!,7.123287671
77,cereal,,365,UAN,45,1.4,3.111111111,3.835616438
77,cereal,,365,UAN,65,2.7,4.153846154,7.397260274
77,cereal,,365,UAN,73,3.1,4.246575342,8.493150685
77,cereal,,365,UAN,85,1.2,1.411764706,3.287671233
77,cereal,,365,UAN,90,1.4,1.555555556,3.835616438
77,cereal,,365,UAN,91,2,2.197802198,5.479452055
77,cereal,,365,UAN,105,1.1,1.047619048,3.01369863
77,cereal,,365,UAN,130,3.5,2.692307692,9.589041096
77,cereal,,365,UAN,146,3.7,2.534246575,10.1369863
77,cereal,,365,UAN,170,2.4,1.411764706,6.575342466
77,cereal,,365,UAN,183,2.6,1.420765027,7.123287671
77,cereal,,365,UAN,210,1.4,0.666666667,3.835616438
77,cereal,,365,none,0,1.1,#DIV/0!,3.01369863
77,cereal,,365,none,0,1.1,#DIV/0!,3.01369863
77,cereal,,365,none,0,1.5,#DIV/0!,4.109589041
77,cereal,,365,none,0,2.3,#DIV/0!,6.301369863
77,cereal,,365,none,0,2.9,#DIV/0!,7.945205479
77,cereal,,365,none,0,3.1,#DIV/0!,8.493150685
78,grass,6.6,365,none,0,0.2,#DIV/0!,0.547945205
78,grass,3,365,AN,40,0.4,1,1.095890411
78,grass,6.6,365,AN,40,0.8,2,2.191780822
78,grass,6.6,365,AN,80,0.84,1.05,2.301369863
78,grass,6.6,365,AN,80,1.2,1.5,3.287671233
78,grass,6.6,365,AN,120,1.4,1.166666667,3.835616438
78,grass,6.6,365,AN,240,2.8,1.166666667,7.671232877
78,grass,6.6,365,AN,400,4.3,1.075,11.78082192
79,none,1.8,183,none,0,0.47,#DIV/0!,2.568306011
79,none,1.8,183,none,0,1.4,#DIV/0!,7.650273224
79,none,1.8,641,none,0,4.83,#DIV/0!,7.535101404
79,none,1.8,641,none,0,4.98,#DIV/0!,7.769110764
79,cereal,1.8,183,UAN,100,0.66,0.66,3.606557377
79,cereal,1.8,183,UAN,100,1.54,1.54,8.415300546
79,cereal,1.8,641,UAN,200,7.55,3.775,11.77847114
79,cereal,1.8,641,UAN,200,7.98,3.99,12.44929797
80,rice,,23,U,80,1.679,2.09875,73
80,rice,,23,none,0,0.847,#DIV/0!,36.82608696
81,none,,365,none,0,0.402,#DIV/0!,1.101369863
81,none,,365,none,0,0.65,#DIV/0!,1.780821918
81,none,,365,none,0,0.675,#DIV/0!,1.849315068
81,grass,,365,none,0,0.234,#DIV/0!,0.64109589
81,grass,,365,none,0,0.303,#DIV/0!,0.830136986
81,grass,,365,none,0,0.434,#DIV/0!,1.189041096
81,cereal,,365,none,0,0.292,#DIV/0!,0.8
81,cereal,,365,none,0,0.299,#DIV/0!,0.819178082
81,cereal,,365,none,0,0.321,#DIV/0!,0.879452055
81,cereal,,365,none,0,0.431,#DIV/0!,1.180821918
81,cereal,,365,none,0,0.496,#DIV/0!,1.35890411
81,cereal,,365,none,0,0.504,#DIV/0!,1.380821918
82,corn,1.8,180,none,0,2.2,#DIV/0!,12.22222222
82,corn,1.9,180,AN,30,2.7,9,15
82,corn,1.9,180,AM,150,4.8,3.2,26.66666667
82,cereal,1.2,180,none,0,0.00001,#DIV/0!,5.55556E-05
82,cereal,1.2,180,none,0,0.8,#DIV/0!,4.444444444
82,cereal,1.2,365,none,0,2.5,#DIV/0!,6.849315068
82,cereal,1.26,180,none,0,5,#DIV/0!,27.77777778
82,cereal,1.43,180,AN,60,5.2,8.666666667,28.88888889
82,cereal,1.84,180,AN,60,5.7,9.5,31.66666667
82,cereal,1.2,180,AN,137,3,2.189781022,16.66666667
82,cereal,1.2,180,AN,137,3.3,2.408759124,18.33333333
82,cereal,1.2,180,AN,170,3,1.764705882,16.66666667
82,cereal,1.2,365,AN,170,5.4,3.176470588,14.79452055
82,cereal,1.2,180,AN,170,5.5,3.235294118,30.55555556
82,cereal,1.2,180,AM,270,7.3,2.703703704,40.55555556
82,cereal,1.2,365,AM,270,11.9,4.407407407,32.60273973
82,cereal,1.2,180,AM,270,13.8,5.111111111,76.66666667
83,vegetable,3.02,365,AN,220,0.82,0.372727273,2.246575342
83,tuber,3.02,365,AN,60,0.09,0.15,0.246575342
83,other,3.02,365,AN,150,0.34,0.226666667,0.931506849
83,other,3.5,365,AN,150,2.36,1.573333333,6.465753425
83,none,3.02,365,none,0,0.00001,#DIV/0!,2.73973E-05
83,none,3.5,365,none,0,0.13,#DIV/0!,0.356164384
83,legume,3.02,365,A,40,0.19,0.475,0.520547945
83,legume,3.5,365,A,40,0.31,0.775,0.849315068
83,cereal,3.5,365,A,110,0.53,0.481818182,1.452054795
83,cereal,3.02,365,A,110,0.56,0.509090909,1.534246575
84,vegetable,2.9,199,AN,242,15.6,6.446280992,78.3919598
84,vegetable,2.9,208,AN,270,7.8,2.888888889,37.5
84,vegetable,2.9,183,AN,280,5.3,1.892857143,28.96174863
84,vegetable,2.9,185,AN,310,3.5,1.129032258,18.91891892
84,vegetable,2.9,199,AN,320,4.7,1.46875,23.61809045
84,vegetable,2.9,183,AN,322,9.9,3.074534161,54.09836066
85,vegetable,,90,M,1006,13.0,1.292246521,144.4444444
85,none,,90,none,0,0.2,#DIV/0!,2.222222222
85,grass,,90,M,348,0.4,0.114942529,4.444444444
85,grass,,90,M,482,6.0,1.244813278,66.66666667
86,cereal,2.6,365,U,25,1.7,6.8,4.657534247
86,cereal,2.6,365,U,25,2.5,10,6.849315068
86,cereal,1.5,365,U,56,0.4,0.714285714,1.095890411
86,cereal,1.5,365,U,56,0.9,1.607142857,2.465753425
86,cereal,5.5,365,U,56,2.0,3.571428571,5.479452055
86,cereal,3.4,365,U,100,0.9,0.9,2.465753425
86,cereal,3.4,365,U,100,2.0,2,5.479452055
86,cereal,4,365,U,100,2.0,2,5.479452055
87,corn,2,185,none,0,0.3,#DIV/0!,1.621621622
87,corn,2,185,M,170,0.7,0.411764706,3.783783784
87,corn,2,185,M,339,1,0.294985251,5.405405405
88,grass,,365,M,246,14.0,5.691056911,38.35616438
88,grass,,365,M,427,14.0,3.278688525,38.35616438
88,grass,,365,M,643,22.0,3.421461897,60.2739726
88,grass,,365,M,802,16,1.995012469,43.83561644
89,grass,3,180,AN,180,3.33,1.85,18.5
89,corn,3,180,none,0,1.53,#DIV/0!,8.5
89,corn,3,180,AN,90,2.31,2.566666667,12.83333333
90,grass,3.81,40,U,50,0.028,0.056,0.7
90,grass,3.81,153,U,150,0.428,0.2856,2.8
90,grass,3.81,157,U,200,0.440,0.2198,2.8
90,grass,3.81,153,none,0,0.00001,#DIV/0!,6.53595E-05
90,grass,3.81,157,none,0,0.00001,#DIV/0!,6.36943E-05
90,grass,3.81,40,none,0,0.004,#DIV/0!,0.1
90,grass,3.81,40,AN,50,0.048,0.096,1.2
90,grass,3.81,153,AN,159,0.260,0.163584906,1.7
90,grass,3.81,157,AN,200,3.454,1.727,22
91,corn,1.1,63,U,100,0.16,0.16,2.53968254
91,cereal,1.1,148,U,100,0.49,0.49,3.310810811
92,other,,6.5,U,20,0.006,0.03,0.923076923
92,other,,6.5,U,22,0.013,0.059090909,2
92,other,1.5,6.5,U,34,0.11,0.323529412,16.92307692
92,other,1.5,6.5,U,35,0.17,0.485714286,26.15384615
92,other,,6.5,U,39,0.092,0.235897436,14.15384615
92,other,1.5,6.5,U,45,0.052,0.115555556,8
92,other,1.6,6.5,U,84,0.011,0.013095238,1.692307692
92,other,5.5,30,U,94,0.33,0.35106383,11
92,other,8,15,U,95,0.38,0.4,25.33333333
92,other,5.6,20,U,124,1.25,1.008064516,62.5
93,cereal,2.3,56,U,120,0.6,0.5,10.71428571
93,cereal,2.3,56,none,0,0.3,#DIV/0!,5.357142857
93,cereal,2.3,56,AN,120,0.4,0.333333333,7.142857143
94,corn,,80,none,0,0.1,#DIV/0!,1.25
94,corn,,80,AN,336,0.846,0.251785714,10.575
95,grass,2.7,365,U,360,3.05,0.847222222,8.356164384
95,grass,2.7,365,U,360,5.1,1.416666667,13.97260274
95,grass,2.7,365,none,0,0.2,#DIV/0!,0.547945205
95,grass,2.7,365,none,0,0.25,#DIV/0!,0.684931507
95,grass,2.7,365,AN,360,1.7,0.472222222,4.657534247
95,grass,2.7,365,AN,360,4.1,1.138888889,11.23287671
95,grass,2.7,365,A,360,0.75,0.208333333,2.054794521
95,grass,2.7,365,A,360,1.3,0.361111111,3.561643836
96,corn,,142,UM,300,7.13,2.376666667,50.21126761
96,corn,,142,UM,300,9.28,3.093333333,65.35211268
96,corn,,142,U,175,8.57,4.897142857,60.35211268
96,corn,,142,none,0,5.98,#DIV/0!,42.11267606
96,corn,,142,M,175,7.7,4.4,54.22535211
96,corn,,142,M,175,8.27,4.725714286,58.23943662
97,tree,,365,none,0,1.940,#DIV/0!,5.315068493
97,grass,,365,none,0,0.143,#DIV/0!,0.391780822
97,grass,,365,none,0,1.120,#DIV/0!,3.068493151
97,grass,,365,none,0,1.320,#DIV/0!,3.616438356
97,grass,,365,none,0,1.330,#DIV/0!,3.643835616
97,grass,,365,none,0,1.450,#DIV/0!,3.97260274
97,grass,,365,none,0,1.910,#DIV/0!,5.232876712
97,grass,,365,none,0,3.090,#DIV/0!,8.465753425
97,grass,,365,none,0,4.860,#DIV/0!,13.31506849
97,grass,,365,none,0,5.130,#DIV/0!,14.05479452
98,corn,0.796,102,UM,150,0.555,0.37,5.441176471
98,corn,0.638,102,U,150,0.371,0.247333333,3.637254902
98,corn,0.687,102,U,150,0.415,0.276666667,4.068627451
98,corn,0.728,102,U,150,0.503,0.335333333,4.931372549
98,corn,0.676,102,none,0,0.061,#DIV/0!,0.598039216
98,corn,0.638,102,none,0,0.076,#DIV/0!,0.745098039
98,corn,0.839,102,M,150,0.434,0.289333333,4.254901961
98,cereal,0.796,236,unknown,150,0.232,0.154666667,0.983050847
98,cereal,0.687,236,U,150,0.147,0.098,0.622881356
98,cereal,0.638,236,U,150,0.181,0.120666667,0.766949153
98,cereal,0.728,236,U,150,0.241,0.160666667,1.021186441
98,cereal,0.638,236,none,0,0.062,#DIV/0!,0.262711864
98,cereal,0.676,236,none,0,0.065,#DIV/0!,0.275423729
98,cereal,0.839,236,M,150,0.39,0.26,1.652542373
99,grass,1,365,M,536,5.900,1.100746269,16.16438356
99,grass,1,365,AN,140,7.900,5.642857143,21.64383562
100,vegetable,,38,none,0,0.0021,#DIV/0!,0.055263158
100,vegetable,,38,none,0,0.00301,#DIV/0!,0.079210526
100,vegetable,,56,none,0,0.00845,#DIV/0!,0.150892857
100,vegetable,,116,none,0,0.0117,#DIV/0!,0.100862069
100,vegetable,,116,none,0,0.0147,#DIV/0!,0.126724138
100,rice,,139,none,0,0.00667,#DIV/0!,0.047985612
100,rice,,120,none,0,0.0082,#DIV/0!,0.068333333
100,rice,,120,none,0,0.0136,#DIV/0!,0.113333333
100,cereal,,186,none,0,0.00457,#DIV/0!,0.024569892
100,cereal,,186,none,0,0.00667,#DIV/0!,0.035860215
101,vegetable,2.5,116,none,0,0.08,#DIV/0!,0.689655172
101,vegetable,2.5,116,A,200,0.338,0.169,2.913793103
101,vegetable,2.5,116,A,200,0.597,0.2985,5.146551724
102,grass,,60,M,223,0.684,0.306726457,11.4
102,grass,,60,M,278,0.945,0.339928058,15.75
103,grass,1.65,365,AM,92,1.5,1.630434783,4.109589041
103,corn,1.28,365,AM,93,5.3,5.698924731,14.52054795
103,corn,1.21,365,AM,333,2.1,0.630630631,5.753424658
104,grass,3.7,840,none,0,1.38,#DIV/0!,1.642857143
104,grass,2.8,840,none,0,1.43,#DIV/0!,1.702380952
104,grass,2.1,840,none,0,1.647,#DIV/0!,1.960714286
104,grass,3.7,840,A,300,3.84,1.28,4.571428571
104,grass,2.1,840,A,300,4.012,1.337333333,4.776190476
104,grass,2.8,840,A,300,11.4,3.8,13.57142857
105,corn,1.8,120,none,0,2.23,#DIV/0!,18.58333333
105,corn,1.8,120,A,200,2.95,1.475,24.58333333
105,cereal,1.8,120,none,0,0.45,#DIV/0!,3.75
105,cereal,1.8,120,A,200,0.76,0.38,6.333333333
106,corn,0.65,122,A,200,2.5,1.25,20.49180328
107,cereal,0.85,155,unknown,69,0.82,1.188405797,5.290322581
107,cereal,0.85,155,none,0,0.54,#DIV/0!,3.483870968
107,cereal,0.85,155,M,71,1.09,1.535211268,7.032258065
107,cereal,0.85,155,M,356,4.19,1.176966292,27.03225806
107,cereal,0.85,155,AN,56,0.93,1.660714286,6
107,cereal,0.85,155,AN,112,0.99,0.883928571,6.387096774
107,cereal,0.85,155,AN,224,1.43,0.638392857,9.225806452
108,unknown,2.1,294,unknown,300,5.998,1.999333333,20.40136054
108,unknown,2.1,153,none,0,0.309,#DIV/0!,2.019607843
108,unknown,2.1,153,none,0,0.336,#DIV/0!,2.196078431
108,unknown,2.1,153,none,0,0.44,#DIV/0!,2.875816993
108,unknown,2.1,153,none,0,0.497,#DIV/0!,3.248366013
108,unknown,2.1,294,none,0,0.762,#DIV/0!,2.591836735
108,unknown,2.1,365,none,0,0.84,#DIV/0!,2.301369863
108,unknown,2.1,294,none,0,0.903,#DIV/0!,3.071428571
108,unknown,2.1,294,none,0,1.03,#DIV/0!,3.503401361
108,unknown,2.1,365,none,0,1.37,#DIV/0!,3.753424658
108,unknown,2.1,153,A,150,0.938,0.625333333,6.130718954
108,unknown,2.1,294,A,300,2.54,0.846666667,8.639455782
108,cereal,2.1,153,A,100,1.57,1.57,10.26143791
108,cereal,2.1,294,A,100,7.19,7.19,24.45578231
109,none,5.8,33,none,0,1.34,#DIV/0!,40.60606061
109,none,5.8,38,none,0,6.03,#DIV/0!,158.6842105
109,none,5.8,33,N,57,3.5,6.140350877,106.0606061
109,none,5.8,38,N,100,16.31,16.31,429.2105263
110,cereal,,110,UA,250,3.23,1.292,29.36363636
110,cereal,,110,U,250,1.45,0.58,13.18181818
111,grass,2.04,365,U,450,0.295,0.065555556,0.808219178
111,grass,2.04,365,U,450,0.690,0.153333333,1.890410959
111,grass,0.57,365,none,0,0.082,#DIV/0!,0.224657534
111,grass,0.57,365,none,0,0.161,#DIV/0!,0.44109589
112,cereal,2.6,105,U,80,0.787,0.98375,7.495238095
112,cereal,2.6,105,M,138,0.866,0.627536232,8.247619048
112,cereal,2.6,105,M,141,1.31,0.929078014,12.47619048
112,cereal,2.6,127,M,144,0.635,0.440972222,5
112,cereal,2.6,127,M,144,0.794,0.551388889,6.251968504
112,cereal,2.6,127,M,152,0.953,0.626973684,7.503937008
112,cereal,2.6,127,M,152,1.01,0.664473684,7.952755906
112,cereal,2.6,127,AN,100,0.64,0.64,5.039370079
113,corn,1.2,150,UAN,152.8,1.52,0.994764398,10.13333333
113,corn,1.2,150,UAN,234.1,2.29,0.978214438,15.26666667
114,grass,5.6,191,AN,85,1.4,1.647058824,7.329842932
114,grass,5.6,203,AN,85,6.5,7.647058824,32.01970443
115,tuber,,730,UAN,50,5.7,11.4,7.808219178
115,tuber,,730,UAN,150,6.9,4.6,9.452054795
115,grass,,730,none,0,0.292,#DIV/0!,0.4
115,corn,,730,AN,65,1.341,2.063076923,1.836986301
115,corn,,730,AN,130,2.406,1.850769231,3.295890411
115,cereal,,730,UAN,90,2.696,2.995555556,3.693150685
115,cereal,,730,UAN,180,3.637,2.020555556,4.982191781
116,tuber,1.48,365,UAN,50,5.6,11.2,15.34246575
116,tuber,1.48,365,UAN,50,6.2,12.4,16.98630137
116,tuber,1.48,365,UAN,150,5.3,3.533333333,14.52054795
116,tuber,1.48,365,UAN,150,8.2,5.466666667,22.46575342
116,grass,1.48,365,none,0,0.3,#DIV/0!,0.821917808
116,grass,1.48,365,none,0,0.3,#DIV/0!,0.821917808
116,corn,1.48,365,UAN,130,2.4,1.846153846,6.575342466
116,corn,1.48,365,AN,65,1.3,2,3.561643836
116,cereal,1.48,365,UAN,90,1.8,2,4.931506849
116,cereal,1.48,365,UAN,90,3.6,4,9.863013699
116,cereal,1.48,365,UAN,180,2.7,1.5,7.397260274
116,cereal,1.48,365,UAN,180,4.6,2.555555556,12.60273973
117,tuber,1.61,365,UAN,140,8,5.714285714,21.91780822
117,tuber,1.61,365,UAN,330,16.03,4.857575758,43.91780822
118,grass,,630,unknown,130,1.3,1,2.063492063
118,grass,,630,unknown,130,1.3,1,2.063492063
118,grass,,630,U,400,5.3,1.325,8.412698413
119,grass,3.5,365,AN,250,3.25,1.3,8.904109589
120,grass,3.47,365,none,0,1.6,#DIV/0!,4.383561644
120,grass,3.47,365,AN,250,3.5,1.4,9.589041096
120,grass,3.47,365,AN,500,8,1.6,21.91780822
121,vegetable,1.13,365,UA,176,19.6,11.13636364,53.69863014
121,vegetable,1.42,365,UA,176,26.9,15.28409091,73.69863014
121,vegetable,0.78,365,UA,336,20.2,6.011904762,55.34246575
121,vegetable,0.77,365,UA,336,26.4,7.857142857,72.32876712
121,vegetable,0.97,365,UA,336,41.8,12.44047619,114.5205479
121,vegetable,1.75,365,UA,528,26.6,5.037878788,72.87671233
121,vegetable,0.98,365,UA,528,29.2,5.53030303,80
122,vegetable,,123,UA,335,7.68,2.292537313,62.43902439
123,grass,,246,AM,150,4.5,3,18.29268293
124,grass,0.8,49,none,0,0.02,#DIV/0!,0.408163265
124,grass,2.3,32,none,0,0.02,#DIV/0!,0.625
124,grass,,72,none,0,0.04,#DIV/0!,0.555555556
124,grass,,71,none,0,0.13,#DIV/0!,1.830985915
124,grass,2.3,32,N,100,0.03,0.03,0.9375
124,grass,,72,N,100,0.05,0.05,0.694444444
124,grass,0.8,49,N,100,0.07,0.07,1.428571429
124,grass,,71,N,100,0.14,0.14,1.971830986
124,grass,,72,AN,100,0.09,0.09,1.25
124,grass,2.3,32,A,100,0.05,0.05,1.5625
124,grass,0.8,49,A,100,0.09,0.09,1.836734694
124,grass,,72,A,100,0.13,0.13,1.805555556
124,grass,,71,A,100,0.22,0.22,3.098591549
125,legume,0.9,160,none,0,0.4,#DIV/0!,2.75
125,legume,0.9,160,AN,33,1.3,3.848484848,7.9375
125,legume,0.9,160,AN,66,1.6,2.409090909,9.9375
125,legume,0.9,160,AN,99,2.6,2.575757576,15.9375
126,none,,28,U,100,0.28,0.28,10
126,none,,28,none,0,0.1,#DIV/0!,3.571428571
126,none,,28,AN,100,0.14,0.14,5
126,grass,,10,none,0,0.00001,#DIV/0!,0.001
126,grass,,10,AN,100,0.08,0.08,8
127,rice,0.7,105,U,90,0.108,0.12,1.028571429
127,rice,0.7,105,U,90,0.109,0.121111111,1.038095238
127,rice,0.7,105,U,180,0.09,0.05,0.857142857
127,rice,0.7,105,U,180,0.171,0.095,1.628571429
127,rice,0.7,105,none,0,0.074,#DIV/0!,0.704761905
128,tuber,2.65,365,UAN,140,1.2,0.857142857,3.287671233
128,tuber,2.35,365,U,170,3.2,1.882352941,8.767123288
128,tuber,2.35,365,AN,170,3.1,1.823529412,8.493150685
128,grass,2.75,365,AN,360,1,0.277777778,2.739726027
128,grass,2.75,365,AN,360,2.24,0.622222222,6.136986301
128,cereal,2.7,365,AN,120,0.8,0.666666667,2.191780822
128,cereal,2.8,365,AN,180,0.3,0.166666667,0.821917808
129,tuber,2.7,196,AN,140,1.35,0.964285714,6.887755102
129,grass,6,138,AN,160,1.9,1.1875,13.76811594
129,grass,5,310,AN,208,8,3.846153846,25.80645161
129,grass,5.2,243,AN,290,5.1,1.75862069,20.98765432
129,grass,2.8,365,AN,360,1,0.277777778,2.739726027
129,cereal,2.7,242,AN,120,0.8,0.666666667,3.305785124
129,cereal,2.8,243,AN,180,0.3,0.166666667,1.234567901
130,rice,2.36,115,U,86,0.629,0.731395349,5.469565217
130,rice,2.36,115,U,86,0.649,0.754651163,5.643478261
130,rice,2.36,115,U,86,0.712,0.827906977,6.191304348
130,rice,2.36,135,U,86,0.749,0.870930233,5.548148148
130,rice,2.36,135,U,86,0.859,0.998837209,6.362962963
130,rice,2.36,115,U,86,0.905,1.052325581,7.869565217
130,rice,2.36,135,U,86,1.012,1.176744186,7.496296296
130,rice,2.36,135,U,86,1.092,1.269767442,8.088888889
130,rice,2.36,135,none,0,0.306,#DIV/0!,2.266666667
130,rice,2.36,115,none,0,0.315,#DIV/0!,2.739130435
130,rice,2.36,115,none,0,0.425,#DIV/0!,3.695652174
130,rice,2.36,135,none,0,0.484,#DIV/0!,3.585185185
131,none,2.6,365,none,0,1.600,#DIV/0!,4.383561644
131,none,2.6,365,none,0,3.500,#DIV/0!,9.589041096
131,none,2.7,365,none,0,5.500,#DIV/0!,15.06849315
131,none,2.7,365,none,0,7.800,#DIV/0!,21.36986301
131,grass,2.6,365,AN,250,1.500,0.6,4.109589041
131,grass,2.6,365,AN,250,1.800,0.72,4.931506849
131,grass,2.7,365,AN,250,3.800,1.52,10.4109589
131,grass,2.7,365,AN,250,3.900,1.56,10.68493151
131,cereal,2.7,365,AN,100,3.700,3.7,10.1369863
131,cereal,2.6,365,AN,100,3.700,3.7,10.1369863
131,cereal,2.7,365,AN,100,4.400,4.4,12.05479452
131,cereal,2.6,365,AN,100,7.400,7.4,20.2739726
132,vegetable,1.1,365,unknown,195,4.8,2.461538462,13.15068493
132,unknown,1.1,365,none,0,2.9,#DIV/0!,7.945205479
133,corn,2.1,73,M,112,0.4255,0.379910714,5.828767123
133,corn,1.5,63,M,133,0.4966,0.373383459,7.882539683
133,corn,1,78,A,45.3,0.3603,0.795364238,4.619230769
134,corn,,210,none,0,1.98,#DIV/0!,9.428571429
134,corn,,210,AN,140,6.21,4.435714286,29.57142857
134,corn,,210,AN,252,8.54,3.388888889,40.66666667
135,corn,,129,U,168,7.78,4.630952381,60.31007752
135,corn,,129,none,0,1.43,#DIV/0!,11.08527132
135,corn,,129,AN,168,13.77,8.196428571,106.744186
136,grass,2.2,159,U,336,2.96,0.880952381,18.6163522
136,grass,2.2,159,none,0,0.51,#DIV/0!,3.20754717
136,grass,2.2,159,M,672,1.64,0.244047619,10.31446541
136,grass,2.2,159,M,672,3.87,0.575892857,24.33962264
137,grass,,365,none,0,3.4,#DIV/0!,9.315068493
137,grass,,365,M,75,8.8,11.73333333,24.10958904
137,grass,,365,AN,74,11.2,15.13513514,30.68493151
138,tuber,0.82,153,U,175,7.31,4.177142857,47.77777778
138,tuber,0.82,153,none,0,3.69,#DIV/0!,24.11764706
138,tuber,0.82,153,M,175,4.69,2.68,30.65359477
138,tuber,0.82,153,M,175,5.62,3.211428571,36.73202614
