length,pcb,n,lgpcb,year,y
26.41732283,2.66,1,0.978326123,1983,9
26.88976378,2.44,1,0.891998039,1983,9
27.91338583,3.47,1,1.244154594,1983,9
,1.82,1,0.598836501,1983,9
,1.17,1,0.157003749,1983,9
,1.5,1,0.405465108,1983,9
,0.6,1,-0.510825624,1983,9
,1.29,1,0.254642218,1983,9
,1.52,1,0.418710335,1983,9
,1.83,1,0.604315967,1983,9
25.31496063,3.75,1,1.32175584,1983,9
26.1023622,1.37,1,0.31481074,1983,9
26.81102362,2.3,1,0.832909123,1983,9
29.88188976,4.28,1,1.45395301,1983,9
24.88188976,2.55,1,0.936093359,1983,9
24.01574803,1.83,1,0.604315967,1983,9
,3.01,1,1.101940079,1983,9
,1.43,1,0.357674444,1983,9
27.08661417,6.05,1,1.800058272,1983,9
28.50393701,2.07,1,0.727548607,1983,9
27.08661417,1.82,1,0.598836501,1983,9
23.7007874,1.16,1,0.148420005,1983,9
22.99212598,1.21,1,0.19062036,1983,9
18.81889764,0.4,1,-0.916290732,1983,9
22.91338583,1.25,1,0.223143551,1983,9
28.11023622,2.46,1,0.90016135,1983,9
26.1023622,2.2,1,0.78845736,1983,9
26.49606299,2.38,1,0.867100488,1983,9
27.71653543,1.82,1,0.598836501,1983,9
29.21259843,3.04,1,1.111857515,1983,9
29.68503937,4.56,1,1.517322624,1983,9
30.2,12,1,2.48490665,1983,9
23.3,2.4,1,0.875468737,1983,9
19.5,1,1,0,1983,9
25.2,5,1,1.609437912,1983,9
25.8,4.1,1,1.410986974,1983,9
27,8,1,2.079441542,1983,9
29.3,7,1,1.945910149,1983,9
29.4,8.9,1,2.186051277,1983,9
28.4,4.3,1,1.458615023,1983,9
27.6,6.3,1,1.840549633,1983,9
29.5,5.6,1,1.722766598,1983,9
28.2,8.3,1,2.116255515,1983,9
27.7,7.3,1,1.987874348,1983,9
22.3,1.3,1,0.262364264,1983,9
15.7,0.73,1,-0.314710745,1983,9
24.5,2.2,1,0.78845736,1983,9
23.5,2.4,1,0.875468737,1983,9
27.2,9.7,1,2.272125886,1983,9
28.3,9.5,1,2.251291799,1983,9
28.7,10,1,2.302585093,1983,9
26.6,5,1,1.609437912,1983,9
28.1,3.9,1,1.360976553,1983,9
25.11811024,1.2,1,0.182321557,1984,10
26.1023622,1,1,0,1984,10
27.91338583,1.1,1,0.09531018,1984,10
23.58267717,1.5,1,0.405465108,1984,10
26.49606299,2.72,1,1.00063188,1984,10
29.21259843,1.25,1,0.223143551,1984,10
