Plot,Species,High class,Numb,type
71,?????,0.5,4,dominant
72,?????,1,3,dominant
72,?????,1,3,dominant
72,?????,0.5,6,dominant
73,?????,0.5,1,dominant
73,?????,1,2,dominant
74,?????,1,1,dominant
76,?????,0.5,1,dominant
78,?????,1,1,dominant
80,?????,1,1,dominant
82,?????,1,8,dominant
82,?????,1,1,dominant
86,?????,1,3,dominant
87,?????,1,5,dominant
90,?????,1,2,dominant
93,?????,0.5,3,dominant
94,?????,1,3,dominant
94,?????,0.5,4,dominant
95,?????,0.5,2,dominant
95,?????,1,4,dominant
95,?????,0.5,4,dominant
101,?????,0.5,1,dominant
107,?????,1,1,dominant
108,?????,1,2,dominant
108,?????,0.5,2,dominant
108,?????,1,3,dominant
108,?????,0.5,3,dominant
110,?????,1,2,dominant
111,?????,1,2,dominant
111,?????,0.5,1,dominant
116,?????,1,1,dominant
91,???,1,1,pioneer
10,???,0.5,1,pioneer
2,???,0.5,1,evergreen
8,???,0.5,1,evergreen
12,???,1,1,evergreen
20,???,0.5,1,evergreen
24,???,1,1,evergreen
38,???,1,2,evergreen
39,???,1,1,evergreen
41,???,0.5,1,evergreen
71,???,0.5,1,evergreen
81,???,1,1,evergreen
85,???,1,1,evergreen
85,???,0.5,2,evergreen
91,???,1,1,evergreen
107,???,0.5,1,evergreen
117,???,1,1,evergreen
120,???,1,2,evergreen
1,????,0.5,1,companion
12,????,0.5,1,companion
15,????,1,1,companion
18,????,0.5,1,companion
19,????,0.5,1,companion
29,????,1,2,companion
29,????,0.5,3,companion
31,????,0.5,,companion
32,????,1,2,companion
33,????,1,1,companion
38,????,1,5,companion
39,????,1,4,companion
40,????,1,4,companion
41,????,1,19,companion
42,????,1,4,companion
43,????,1,7,companion
44,????,0.5,1,companion
45,????,1,7,companion
45,????,0.5,4,companion
46,????,1,8,companion
47,????,0.5,5,companion
48,????,1,1,companion
52,????,0.5,1,companion
53,????,1,2,companion
54,????,1,5,companion
55,????,1,5,companion
55,????,0.5,1,companion
56,????,1,5,companion
56,????,0.5,4,companion
57,????,1,3,companion
58,????,0.5,1,companion
59,????,0.5,1,companion
59,????,1,1,companion
60,????,1,3,companion
69,????,1,1,companion
71,????,1,2,companion
71,????,0.5,1,companion
72,????,1,10,companion
73,????,1,3,companion
73,????,0.5,2,companion
74,????,1,1,companion
76,????,1,1,companion
80,????,1,1,companion
81,????,1,1,companion
87,????,1,2,companion
92,????,1,4,companion
93,????,0.5,4,companion
95,????,1,4,companion
95,????,0.5,6,companion
96,????,1,1,companion
108,????,0.5,1,companion
109,????,0.5,1,companion
113,????,1,2,companion
118,????,0.5,1,companion
126,????,0.5,1,companion
127,????,0.5,1,companion
128,????,0.5,2,companion
6,?????,1,1,dominant
14,?????,1,1,dominant
15,?????,1,1,dominant
16,?????,1,3,dominant
18,?????,0.5,2,dominant
19,?????,1,2,dominant
20,?????,0.5,1,dominant
22,?????,0.5,1,dominant
29,?????,1,1,dominant
