Agency  	Station        	Station Name                                                                                                                                                                  	Agency Name              	State Name                    	County Name                   	  Latitude	Longitude  	HUC     	Rchmile Segment	Miles Up Reach	Rchonoff	Rchname                                                     	Station Alias                           	Station Type                                                     	Station Depth	Depth Units         	S	G	Description
131TVAC 	370069         	PRICE LAKE (TRIBUTARY TO WATAUGA RIVER 74.97) / HOLSTON RIVER BASIN / BOONE FORK 3.77                                                                                         	TENN VALLEY AUTHORITY    	North Carolina                	Watauga                       	 36.138333	-81.731944 	06010103	            030	         12.44	OFF     	WATAUGA R                                                   	none                                    	/TYPA/AMBNT/STREAM                                               	            0	FEET                	S	 	ELEVATION MSL FEET,  3380 SURFACE AREA ACRES,  >5 MAP (QUAD NO.)       221NW
131TVAC 	370070         	SIMS POND (TRIBUTARY TO BOONE FORK 3.30) / HOLSTON RIVER BASIN / SIMS CREEK 1.02                                                                                              	TENN VALLEY AUTHORITY    	North Carolina                	Watauga                       	 36.138333	-81.719444 	06010103	               	              	        	                                                            	none                                    	/TYPA/AMBNT/STREAM                                               	            0	FEET                	S	 	ELEVATION MSL FEET,  3420 SURFACE AREA ACRES,  >5 MAP (QUAD NO.)       221NW
131TVAC 	370071         	UPPER LANCE CREEK LAKE (TRIB. TO WATAUGA R.73.8) / HOLSTON RIVER BASIN / LANCE CREEK 3.10                                                                                     	TENN VALLEY AUTHORITY    	North Carolina                	Watauga                       	 36.178611	-81.716667 	06010103	               	              	        	                                                            	none                                    	/TYPA/AMBNT/STREAM                                               	            0	FEET                	S	 	ELEVATION MSL FEET,  3680 SURFACE AREA ACRES,  >5 MAP (QUAD NO.)       221NW
131TVAC 	370072         	UNNAMED LAKE (TRIBUTARY TO LANCE CREEK 0.7) / HOLSTON RIVER BASIN / UNNAMED TRIBUTARY 1.22                                                                                    	TENN VALLEY AUTHORITY    	North Carolina                	Watauga                       	 36.179722	-81.721944 	06010103	               	              	        	                                                            	none                                    	/TYPA/AMBNT/STREAM                                               	            0	FEET                	S	 	ELEVATION MSL FEET,  3600 SURFACE AREA ACRES,  >5 MAP (QUAD NO.)       221NW
131TVAC 	370073         	0.3 MILES WEST OF APPALACHIAN CAMP / HOLSTON RIVER BASIN / UNNAMED POND TO BOONE FORK                                                                                         	TENN VALLEY AUTHORITY    	North Carolina                	Watauga                       	 36.120556	-81.771111 	06010103	            030	         15.53	OFF     	WATAUGA R                                                   	none                                    	/TYPA/AMBNT/STREAM                                               	            0	FEET                	S	 	ELEVATION MSL FEET,  3500 SURFACE AREA ACRES,  >5 MAP (QUAD NO.)       215SE
21NC37GW	WT1120         	SILVER STONE / SOUTHEAST / WATAUGA                                                                                                                                            	NC DE&NR                 	North Carolina                	Watauga                       	 36.288333	-81.753889 	06010103	               	              	        	                                                            	E77K1                                   	/TYPA/AMBNT/WELL                                                 	           15	FEET                	 	G	none
21NC37GW	WT1152         	BOONE / SOUTHEAST / KANAWHA                                                                                                                                                   	NC DE&NR                 	North Carolina                	Watauga                       	 36.191667	-81.6475   	05050001	               	              	        	                                                            	F75Q1                                   	/TYPA/AMBNT/WELL                                                 	          230	FEET                	 	G	none
21NC37GW	WT3054         	BOONE / OHIO / KANAWHA                                                                                                                                                        	NC DE&NR                 	North Carolina                	Watauga                       	     36.25	-81.6      	05050001	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	          104	FEET                	 	G	C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
21NC37GW	WT3055         	BOONE / OHIO / KANAWHA                                                                                                                                                        	NC DE&NR                 	North Carolina                	Watauga                       	 36.233333	-81.733333 	06010103	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	          104	FEET                	 	G	C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
21NC37GW	WT3056         	BOONE / TENNESSEE / HOLSTON                                                                                                                                                   	NC DE&NR                 	North Carolina                	Watauga                       	     36.25	-81.75     	06010103	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	           64	FEET                	 	G	C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
21NC37GW	WT3057         	BOONE / OHIO / KANAWHA                                                                                                                                                        	NC DE&NR                 	North Carolina                	Watauga                       	 36.233333	-81.5      	05050001	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	          264	FEET                	 	G	C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
21NC37GW	WT3058         	BLOWING ROCK / TENNESSEE / HOLSTON                                                                                                                                            	NC DE&NR                 	North Carolina                	Watauga                       	 36.116667	-81.733333 	06010103	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	           84	FEET                	 	G	C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
21NC37GW	WT3059         	BOONE / OHIO / KANAWHA                                                                                                                                                        	NC DE&NR                 	North Carolina                	Watauga                       	 36.366667	-81.7      	05050001	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	          204	FEET                	 	G	C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
21NC37GW	WT3061         	BOONE / OHIO / KANAWHA                                                                                                                                                        	NC DE&NR                 	North Carolina                	Watauga                       	 36.183333	-81.7      	06010103	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	           84	FEET                	 	G	C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
21NC37GW	WT3062         	BOONE / OHIO / KANAWHA                                                                                                                                                        	NC DE&NR                 	North Carolina                	Watauga                       	     36.15	-81.65     	05050001	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	          144	FEET                	 	G	C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
21NC37GW	WT3063         	BOONE / OHIO / KANAWHA                                                                                                                                                        	NC DE&NR                 	North Carolina                	Watauga                       	 36.266667	-81.733333 	06010103	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	           84	FEET                	 	G	C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
21NC37GW	WT3064         	BOONE / TENNESSEE / HOLSTON                                                                                                                                                   	NC DE&NR                 	North Carolina                	Watauga                       	 36.216667	-81.716667 	06010103	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	          204	FEET                	 	G	C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
21NC37GW	WT3065         	BOONE / OHIO / KANAWHA                                                                                                                                                        	NC DE&NR                 	North Carolina                	Watauga                       	 36.216667	-81.65     	05050001	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	          244	FEET                	 	G	C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
21NC37GW	WT3066         	BOONE / OHIO / KANAWHA                                                                                                                                                        	NC DE&NR                 	North Carolina                	Watauga                       	 36.283333	-81.666667 	05050001	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	           84	FEET                	 	G	C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
21NC37GW	WT3067         	BOONE / TENNESSEE / HOLSTON                                                                                                                                                   	NC DE&NR                 	North Carolina                	Watauga                       	     36.25	-81.766667 	06010103	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	          224	FEET                	 	G	C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
21NC37GW	WT3068         	BOONE / TENNESSEE / HOLSTON                                                                                                                                                   	NC DE&NR                 	North Carolina                	Watauga                       	 36.166667	-81.666667 	05050001	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	          144	FEET                	 	G	C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
21NC37GW	WT3069         	BOONE / TENNESSEE / HOLSTON                                                                                                                                                   	NC DE&NR                 	North Carolina                	Watauga                       	     36.15	-81.716667 	06010103	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	          144	FEET                	 	G	C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
21NC37GW	WT3070         	BOONE / OHIO / KANAWHA                                                                                                                                                        	NC DE&NR                 	North Carolina                	Watauga                       	     36.15	-81.633333 	05050001	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	          400	FEET                	 	G	C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
21NC37GW	WT3071         	VALLE CRUCIS / TENNESSEE / HOLSTON                                                                                                                                            	NC DE&NR                 	North Carolina                	Watauga                       	 36.183333	-81.783333 	06010103	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	          144	FEET                	 	G	C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
